https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DAI
1615680000000,2021-03-14 00:00:00,DAI/USD,1.0019,1.0025,1.0001,1.0013,76010.85050089285,75912.1646868
1615593600000,2021-03-13 00:00:00,DAI/USD,1.0021,1.0079,1.0,1.0018,406552.0848738295,405821.60598305997
1615507200000,2021-03-12 00:00:00,DAI/USD,1.0017,1.0024,1.0005,1.0022,66290.13410593185,66144.61595084
1615420800000,2021-03-11 00:00:00,DAI/USD,1.0019,1.0078,1.001,1.0017,248893.97761636338,248471.57593727
1615334400000,2021-03-10 00:00:00,DAI/USD,1.0021,1.0027,1.0006,1.0017,657029.6773680366,655914.62250977
1615248000000,2021-03-09 00:00:00,DAI/USD,1.0011,1.003,1.0011,1.0018,86576.14174865317,86420.5846962
1615161600000,2021-03-08 00:00:00,DAI/USD,1.0003,1.0021,0.9997,1.0012,123090.89440494413,122943.3623701
1615075200000,2021-03-07 00:00:00,DAI/USD,1.0009,1.0012,0.99988,1.0002,86332.5107475196,86315.24769798
1614988800000,2021-03-06 00:00:00,DAI/USD,1.0024,1.0075,0.9993,1.0006,292665.9102818393,292490.41603222
1614902400000,2021-03-05 00:00:00,DAI/USD,1.002,1.0059,1.001,1.0022,172175.96814702285,171798.01251948
1614816000000,2021-03-04 00:00:00,DAI/USD,1.002,1.003,1.0012,1.002,387124.72030521533,386352.01627267
1614729600000,2021-03-03 00:00:00,DAI/USD,1.0013,1.003,1.0006,1.002,389845.2773830136,389067.14309682
1614643200000,2021-03-02 00:00:00,DAI/USD,1.0004,1.0025,0.9995,1.0011,311660.258923907,311317.80933364
1614556800000,2021-03-01 00:00:00,DAI/USD,1.0027,1.004,0.99988,1.0002,381781.4529369929,381705.11191461
1614470400000,2021-02-28 00:00:00,DAI/USD,1.0022,1.0109,1.0,1.0038,651723.0721735068,649255.89975444
1614384000000,2021-02-27 00:00:00,DAI/USD,1.0002,1.0067,0.9996,1.0021,308758.997453769,308111.96233287
1614297600000,2021-02-26 00:00:00,DAI/USD,1.0018,1.0066,0.9984,1.0009,656305.9050487275,655715.76086395
1614211200000,2021-02-25 00:00:00,DAI/USD,0.999,1.0027,0.999,1.0015,610176.2749132419,609262.38134123
1614124800000,2021-02-24 00:00:00,DAI/USD,1.0013,1.0108,0.9983,0.999,498728.4697897827,499227.69748727
1614038400000,2021-02-23 00:00:00,DAI/USD,0.9984,1.011,0.9872,1.0003,1427715.5451299965,1427287.35892232
1613952000000,2021-02-22 00:00:00,DAI/USD,0.9993,1.0496,0.99,0.998,930640.6010649609,932505.61228954
