https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1616025600000,2021-03-18 00:00:00,NEO/USD,46.289,47.8,43.251,43.609,2334680.678099876,53536.67082712
1615939200000,2021-03-17 00:00:00,NEO/USD,40.775,46.47,40.161,46.249,5176010.470004612,111916.15970085
1615852800000,2021-03-16 00:00:00,NEO/USD,38.662,40.879,37.51,40.808,771244.1079421933,18899.33610915
1615766400000,2021-03-15 00:00:00,NEO/USD,39.557,40.964,37.17,38.593,1342392.3550359595,34783.31187096
1615680000000,2021-03-14 00:00:00,NEO/USD,42.08,42.915,39.584,39.584,634281.3999759399,16023.68128476
1615593600000,2021-03-13 00:00:00,NEO/USD,39.933,42.598,38.412,42.123,911806.2605937491,21646.28019357
1615507200000,2021-03-12 00:00:00,NEO/USD,42.065,42.066,38.531,39.999,733986.7431998668,18350.12733318
1615420800000,2021-03-11 00:00:00,NEO/USD,41.005,42.679,39.117,41.964,768088.4818959549,18303.50972014
1615334400000,2021-03-10 00:00:00,NEO/USD,42.684,43.135,39.874,40.948,952722.2621637756,23266.63725124
1615248000000,2021-03-09 00:00:00,NEO/USD,40.169,43.097,39.683,42.807,1718609.6624747943,40147.86512661
1615161600000,2021-03-08 00:00:00,NEO/USD,39.315,40.1,37.804,40.1,1843130.1283971812,45963.34484781
1615075200000,2021-03-07 00:00:00,NEO/USD,38.121,39.569,38.091,39.247,1763476.14896845,44932.76298745
1614988800000,2021-03-06 00:00:00,NEO/USD,37.568,38.57,36.642,38.131,1428573.3106874696,37464.87925015
1614902400000,2021-03-05 00:00:00,NEO/USD,37.78,38.1,35.899,37.533,2884373.7320599617,76849.00572989
1614816000000,2021-03-04 00:00:00,NEO/USD,39.622,40.928,36.8,37.826,2968267.234768201,78471.61303781
1614729600000,2021-03-03 00:00:00,NEO/USD,37.745,41.38,37.458,39.701,6223754.806811255,156765.69373092
1614643200000,2021-03-02 00:00:00,NEO/USD,38.154,39.481,36.112,37.781,995977.1230794635,26361.85180592
1614556800000,2021-03-01 00:00:00,NEO/USD,35.438,38.759,35.276,37.899,1507365.3156563756,39773.22134242
1614470400000,2021-02-28 00:00:00,NEO/USD,37.3,37.518,31.99,35.297,1970334.6463431732,55821.58954991
1614384000000,2021-02-27 00:00:00,NEO/USD,37.675,39.517,36.444,37.294,1066626.1757700178,28600.47663887
1614297600000,2021-02-26 00:00:00,NEO/USD,38.329,39.834,35.14,37.723,2326407.6738806954,61670.80226601
1614211200000,2021-02-25 00:00:00,NEO/USD,40.665,43.032,38.204,38.51,2089304.6707491842,54253.56195142
1614124800000,2021-02-24 00:00:00,NEO/USD,38.75,44.198,36.84936695,40.674,2773995.5636196802,68200.7071746
1614038400000,2021-02-23 00:00:00,NEO/USD,46.9,47.333,31.557,38.858,8834557.278957615,227354.91479123
1613952000000,2021-02-22 00:00:00,NEO/USD,54.809,55.212,41.362,46.88,17839214.257300407,380529.31436221
1613865600000,2021-02-21 00:00:00,NEO/USD,43.747,54.809,42.734,54.809,19448478.539272238,354840.96661629
1613779200000,2021-02-20 00:00:00,NEO/USD,47.839,49.743,41.305,43.687,5521930.093759821,126397.557483
1613692800000,2021-02-19 00:00:00,NEO/USD,44.008,49.699,42.01,47.793,4432670.981731894,92747.28478505
1613606400000,2021-02-18 00:00:00,NEO/USD,42.672,45.079,41.934,43.884,2262687.701609798,51560.65312209
1613520000000,2021-02-17 00:00:00,NEO/USD,41.052,43.877,38.701,42.474,2220067.3597424896,52268.85529365
1613433600000,2021-02-16 00:00:00,NEO/USD,41.578,44.661,39.469,41.01,3347289.8747676644,81621.30882145
1613347200000,2021-02-15 00:00:00,NEO/USD,43.867,45.368,36.618,41.502,8199044.652013048,197557.82015356
1613260800000,2021-02-14 00:00:00,NEO/USD,42.416,47.379,40.531,43.853,8099345.613437469,184693.07945722
1613174400000,2021-02-13 00:00:00,NEO/USD,37.692,43.552,35.566,42.406,5776842.181624224,136227.00046277
1613088000000,2021-02-12 00:00:00,NEO/USD,36.468,38.397,35.047,37.7,2326639.3574564145,61714.57181582
1613001600000,2021-02-11 00:00:00,NEO/USD,33.535,38.874,32.759,36.405,5107810.226741115,140305.18408848
1612915200000,2021-02-10 00:00:00,NEO/USD,31.136,36.4646504,30.42,33.543,7346240.928692973,219009.65711752
1612828800000,2021-02-09 00:00:00,NEO/USD,27.47,32.117,26.478,31.063,4634495.530020009,149196.64971252
1612742400000,2021-02-08 00:00:00,NEO/USD,24.451,27.777,23.998,27.37,1762749.6059183108,64404.44303684
1612656000000,2021-02-07 00:00:00,NEO/USD,24.829,25.647,23.375,24.552,1224794.1358184083,49885.71749016
1612569600000,2021-02-06 00:00:00,NEO/USD,26.047,26.289,24.39,24.845,959549.950867431,38621.45103109
1612483200000,2021-02-05 00:00:00,NEO/USD,23.759,26.5,23.62,26.069,1585704.6200977077,60827.21316881
1612396800000,2021-02-04 00:00:00,NEO/USD,24.696,25.087,22.901,23.735,866277.0878015675,36497.87603967
1612310400000,2021-02-03 00:00:00,NEO/USD,23.845,24.98,23.56,24.679,1352088.4139476435,54787.00165921
1612224000000,2021-02-02 00:00:00,NEO/USD,23.138,23.93,22.508,23.781,786344.4195939327,33066.07878533
1612137600000,2021-02-01 00:00:00,NEO/USD,22.311,23.601,21.788,23.085,1228295.4612514272,53207.51402432
1612051200000,2021-01-31 00:00:00,NEO/USD,22.884,23.47,21.623,22.297,1066073.2569596372,47812.4078109
1611964800000,2021-01-30 00:00:00,NEO/USD,22.601,22.928,21.824,22.928,342470.3417184614,14936.77345248
1611878400000,2021-01-29 00:00:00,NEO/USD,22.211,23.999,21.873,22.633,1408098.8037370266,62214.412748509996
1611792000000,2021-01-28 00:00:00,NEO/USD,21.056,22.936,20.667,22.328,575821.8331269745,25789.22577602
1611705600000,2021-01-27 00:00:00,NEO/USD,23.161,23.186,20.276,21.087,1316588.6337190578,62436.03327733
1611619200000,2021-01-26 00:00:00,NEO/USD,23.252,23.826,22.249,23.163,1739228.317022814,75086.48780480999
1611532800000,2021-01-25 00:00:00,NEO/USD,24.486,25.261,23.149,23.325,577237.571934363,24747.59150844
1611446400000,2021-01-24 00:00:00,NEO/USD,24.387,25.623,23.604,24.485,2865140.2286048434,117016.14166244
1611360000000,2021-01-23 00:00:00,NEO/USD,23.43,25.43,23.128,24.405,1903351.1603732968,77990.21349614
1611273600000,2021-01-22 00:00:00,NEO/USD,22.121,24.531,20.802,23.485,2010764.6411653648,85619.10330702
1611187200000,2021-01-21 00:00:00,NEO/USD,26.092,26.283,22.01,22.102,3460676.4193464722,156577.52327149
1611100800000,2021-01-20 00:00:00,NEO/USD,26.281,26.802,23.885,26.075,4476413.313817038,171674.52785492
1611014400000,2021-01-19 00:00:00,NEO/USD,27.16,28.915,26.314,26.314,2064901.9073654907,78471.60854927
1610928000000,2021-01-18 00:00:00,NEO/USD,23.924,28.382,23.035,27.124,4991937.68119758,184041.35382678
1610841600000,2021-01-17 00:00:00,NEO/USD,23.58,24.7,22.1,23.896,1147818.2219300806,48033.90617384
1610755200000,2021-01-16 00:00:00,NEO/USD,23.448,24.596,22.84,23.625,1405474.9869602926,59491.00473906
1610668800000,2021-01-15 00:00:00,NEO/USD,23.122,25.5,21.492,23.487,6485100.401214875,276114.46337186
1610582400000,2021-01-14 00:00:00,NEO/USD,23.269,23.932,22.137,23.055,2162856.456797563,93812.90205151
1610496000000,2021-01-13 00:00:00,NEO/USD,22.199,23.856,20.558,23.248,3055007.4630399994,131409.47449415
1610409600000,2021-01-12 00:00:00,NEO/USD,23.649,24.898,21.53982555,22.122,3639995.8678121725,164541.89801158
