https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BAT
1611532800000,2021-01-25 00:00:00,BAT/USD,0.32304,0.33951,0.29721,0.30149,133138.04363179754,441600.1977903
1611446400000,2021-01-24 00:00:00,BAT/USD,0.32692,0.33284,0.30618,0.32024,98170.93840938622,306554.26682921
1611360000000,2021-01-23 00:00:00,BAT/USD,0.31293,0.36179,0.31149,0.32857,189916.85793872343,578010.3415976
1611273600000,2021-01-22 00:00:00,BAT/USD,0.24233,0.34624,0.229,0.31609,522412.69734475866,1652734.02304647
1611187200000,2021-01-21 00:00:00,BAT/USD,0.27943,0.27943,0.24233,0.24327,83289.70690181,342375.57817162
1611100800000,2021-01-20 00:00:00,BAT/USD,0.26912,0.28792,0.25201,0.27879,80527.6017143434,288846.80840182
1611014400000,2021-01-19 00:00:00,BAT/USD,0.28279,0.29135,0.26776,0.26882,74330.48111935392,276506.51409625
1610928000000,2021-01-18 00:00:00,BAT/USD,0.27442,0.29577,0.26819,0.28344,131231.42259481343,462995.42264611
1610841600000,2021-01-17 00:00:00,BAT/USD,0.26574,0.2791,0.24971,0.27382,74876.01535160617,273449.76755389
1610755200000,2021-01-16 00:00:00,BAT/USD,0.24822,0.286,0.24822,0.26744,183735.69857295015,687016.52173553
1610668800000,2021-01-15 00:00:00,BAT/USD,0.24617,0.25837,0.2266,0.24845,48325.839496723514,194509.31574451
1610582400000,2021-01-14 00:00:00,BAT/USD,0.24959,0.255,0.2389,0.2456,18594.15385675252,75709.09550795
1610496000000,2021-01-13 00:00:00,BAT/USD,0.22811,0.24902,0.22446,0.24902,56942.62701092742,228666.88222202
1610409600000,2021-01-12 00:00:00,BAT/USD,0.2296,0.24854,0.22322,0.22897,39075.25133410389,170656.6420671
1610323200000,2021-01-11 00:00:00,BAT/USD,0.2573,0.2573,0.20305,0.23024,177307.6007484586,770099.03035293
1610236800000,2021-01-10 00:00:00,BAT/USD,0.278,0.294,0.23637,0.2579,110633.86156947492,428979.6881329
1610150400000,2021-01-09 00:00:00,BAT/USD,0.25173,0.28731,0.24319,0.27544,141326.36654580178,513093.11118865
1610064000000,2021-01-08 00:00:00,BAT/USD,0.25654,0.27336,0.24,0.25026,98975.69815118314,395491.48146401
1609977600000,2021-01-07 00:00:00,BAT/USD,0.25089,0.28397,0.23929,0.25502,425393.8069072613,1668080.1776616
1609891200000,2021-01-06 00:00:00,BAT/USD,0.23183,0.25542,0.00031,0.25021,457444.7587163192,1828243.31048447
1609804800000,2021-01-05 00:00:00,BAT/USD,0.21805,0.24847,0.21668,0.23087,145621.674111825,630751.82618714
1609718400000,2021-01-04 00:00:00,BAT/USD,0.21834,0.23735,0.2,0.21784,138044.89186271056,633698.54876382
1609632000000,2021-01-03 00:00:00,BAT/USD,0.2039,0.21949,0.20017,0.21593,43911.40439945527,203359.44240937
1609545600000,2021-01-02 00:00:00,BAT/USD,0.20382,0.20897,0.19962,0.20324,40262.173822007935,198101.62282035
1609459200000,2021-01-01 00:00:00,BAT/USD,0.19869,0.21042,0.19825,0.20502,62144.886546311645,303116.21571706
1609372800000,2020-12-31 00:00:00,BAT/USD,0.20103,0.20185,0.19496,0.1987,56117.913151618544,282425.33040573
1609286400000,2020-12-30 00:00:00,BAT/USD,0.20657,0.20702,0.19916,0.20102,37515.64660768968,186626.43820361
1609200000000,2020-12-29 00:00:00,BAT/USD,0.2114,0.21346,0.19695,0.20582,54637.317345860545,265461.65263755
1609113600000,2020-12-28 00:00:00,BAT/USD,0.21042,0.21834,0.20699,0.21091,20530.93672024745,97344.53899885
1609027200000,2020-12-27 00:00:00,BAT/USD,0.21484,0.2215,0.20288,0.20993,35287.29635087116,168090.77478622
1608940800000,2020-12-26 00:00:00,BAT/USD,0.21434,0.21534,0.20524,0.21247,13439.286539658611,63252.63114632
1608854400000,2020-12-25 00:00:00,BAT/USD,0.21884,0.22447,0.21198,0.21228,21713.972980637787,102289.30177425
1608768000000,2020-12-24 00:00:00,BAT/USD,0.1916,0.22071,0.18915,0.21823,39348.81699372043,180308.92633332
