https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EOS
1609459200000,2021-01-01 00:00:00,EOS/USD,2.59762629,2.7331,2.5673,2.6411,6251022.375252843,2366825.32855736
1609372800000,2020-12-31 00:00:00,EOS/USD,2.6125,2.6537,2.5069,2.5914,6073883.881128513,2343861.95922224
1609286400000,2020-12-30 00:00:00,EOS/USD,2.6319,2.6665,2.5371,2.6122,3818530.373044603,1461806.28322663
1609200000000,2020-12-29 00:00:00,EOS/USD,2.7621,2.7875,2.4981,2.632,5499235.638100765,2089375.2424395
1609113600000,2020-12-28 00:00:00,EOS/USD,2.71640498,2.89,2.6837,2.764,5318055.062284871,1924043.07607991
1609027200000,2020-12-27 00:00:00,EOS/USD,2.6064,2.8662,2.4617,2.7106,10489393.410627598,3869768.09954534
1608940800000,2020-12-26 00:00:00,EOS/USD,2.66685296,2.6946,2.5239,2.60735112,6115845.077095556,2345616.21953531
1608854400000,2020-12-25 00:00:00,EOS/USD,2.6694,2.7448,2.5419,2.668,12845530.015908979,4814666.42275449
1608768000000,2020-12-24 00:00:00,EOS/USD,2.3089,2.6887,2.25,2.6686,19816138.83328285,7425668.45285275
1608681600000,2020-12-23 00:00:00,EOS/USD,2.8947,2.9127,1.9331,2.3111,26234147.403948247,11351368.35444085
1608595200000,2020-12-22 00:00:00,EOS/USD,2.9294,2.952,2.7637,2.8972,4379331.008262687,1511573.5911441
1608508800000,2020-12-21 00:00:00,EOS/USD,3.1241,3.27,2.8977,2.927,11982566.940790867,4093804.89948441
1608422400000,2020-12-20 00:00:00,EOS/USD,3.0511,3.32864689,3.0032,3.1303,12452662.31994381,3978105.07617283
1608336000000,2020-12-19 00:00:00,EOS/USD,3.0638,3.1251,3.0296,3.05407887,2349253.262588636,769218.26926776
1608249600000,2020-12-18 00:00:00,EOS/USD,3.042,3.13,2.9779,3.0645,3667579.9196927673,1196795.53587625
1608163200000,2020-12-17 00:00:00,EOS/USD,3.1013,3.2464,2.95171183,3.0416,38765585.277383015,12745129.29950783
1608076800000,2020-12-16 00:00:00,EOS/USD,2.867,3.1099,2.8204,3.0992,7130057.8629846405,2300612.37189747
1607990400000,2020-12-15 00:00:00,EOS/USD,2.8475,2.9056,2.8093,2.866,3164864.8916407316,1104279.4457923
1607904000000,2020-12-14 00:00:00,EOS/USD,2.8504,2.8656,2.8004,2.845,1632320.9341432005,573750.7677129
1607817600000,2020-12-13 00:00:00,EOS/USD,2.7723,2.903,2.7552,2.8531,4679555.453486024,1640165.2425383
1607731200000,2020-12-12 00:00:00,EOS/USD,2.6969,2.7898,2.6802,2.7666,1407976.8484374804,508919.55773783
1607644800000,2020-12-11 00:00:00,EOS/USD,2.7459,2.7492,2.6545,2.6961,8160910.961652119,3026931.85032162
1607558400000,2020-12-10 00:00:00,EOS/USD,2.8121,2.8142,2.7039,2.7444,1510145.8129880407,550264.47055387
1607472000000,2020-12-09 00:00:00,EOS/USD,2.8001,2.916,2.6702,2.8119,10205021.231037058,3629226.2281863
1607385600000,2020-12-08 00:00:00,EOS/USD,2.9526,2.9648,2.7442,2.8022,3291617.0491683525,1174654.57468002
1607299200000,2020-12-07 00:00:00,EOS/USD,3.0026,3.0099,2.9084,2.9538,1189744.1314703578,402784.25467884
1607212800000,2020-12-06 00:00:00,EOS/USD,3.0112,3.0347,2.912,2.9977,960437.3638749028,320391.42138136
1607126400000,2020-12-05 00:00:00,EOS/USD,2.8449,3.0121,2.8236,3.0121,1415865.6550657663,470059.31246166
1607040000000,2020-12-04 00:00:00,EOS/USD,3.081,3.15250507,2.7887,2.8461,4312923.159918898,1515380.04986434
