https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume OMG
1613606400000,2021-02-18 00:00:00,OMG/USD,6.3876,6.6858,6.2814,6.5342,2507144.1019016104,383695.64780717
1613520000000,2021-02-17 00:00:00,OMG/USD,6.1759,6.4245,5.7239,6.387,3211137.709628172,502761.50142918
1613433600000,2021-02-16 00:00:00,OMG/USD,6.1843,6.5605,5.9069,6.1766,2641497.121246285,427662.00195031
1613347200000,2021-02-15 00:00:00,OMG/USD,6.7184,6.9317,5.505,6.1724,8160285.442239008,1322060.37234123
1613260800000,2021-02-14 00:00:00,OMG/USD,7.7185,7.8129,6.4615,6.6676,7985845.503327204,1197709.14621861
1613174400000,2021-02-13 00:00:00,OMG/USD,6.1684,7.98,6.1638,7.6929,22111676.261340242,2874296.59313656
1613088000000,2021-02-12 00:00:00,OMG/USD,5.9737,6.3226,5.6554,6.15,4352096.489905976,707657.96583837
1613001600000,2021-02-11 00:00:00,OMG/USD,5.5881,6.2197,5.3433,5.9554,5698626.0293809185,956883.84145161
1612915200000,2021-02-10 00:00:00,OMG/USD,5.1262,5.9489,4.9101,5.5869,7168579.325111933,1283105.00010953
1612828800000,2021-02-09 00:00:00,OMG/USD,4.8862,5.255,4.6521,5.1258,4268123.167769214,832674.54207523
1612742400000,2021-02-08 00:00:00,OMG/USD,4.6328,4.9486,4.4934,4.8716,3436655.0875268793,705446.89373653
1612656000000,2021-02-07 00:00:00,OMG/USD,4.9045,5.0406,4.2725,4.6376,4135332.836071695,891696.74747104
1612569600000,2021-02-06 00:00:00,OMG/USD,5.1607,5.393,4.6536,4.8987,5205087.275351254,1062544.60884546
1612483200000,2021-02-05 00:00:00,OMG/USD,4.4568,5.49,4.4086,5.16,9025725.009403395,1749171.51345027
1612396800000,2021-02-04 00:00:00,OMG/USD,4.6428,4.6757,4.1254,4.4504,4430692.621204029,995571.77359429
1612310400000,2021-02-03 00:00:00,OMG/USD,3.9675,4.8318,3.8884,4.6238,7212895.058583442,1559949.62121706
1612224000000,2021-02-02 00:00:00,OMG/USD,4.1592,4.1592,3.8068,3.9578,3760064.366634062,950039.00314166
1612137600000,2021-02-01 00:00:00,OMG/USD,3.5319,4.38,3.3874,4.1877,12044923.141585441,2876262.18248333
1612051200000,2021-01-31 00:00:00,OMG/USD,3.4842,3.7778,3.4196,3.5282,3017892.1484212773,855363.11672277
1611964800000,2021-01-30 00:00:00,OMG/USD,3.506,3.61,3.3384,3.4855,1352644.854482486,388077.708932
1611878400000,2021-01-29 00:00:00,OMG/USD,3.2993,3.8316,3.2976,3.5056,8530697.913071048,2433448.74288882
1611792000000,2021-01-28 00:00:00,OMG/USD,3.1358,3.4074,3.0647,3.29,1539034.082945861,467791.51457321
1611705600000,2021-01-27 00:00:00,OMG/USD,3.4466,3.4472,3.0711,3.1268,1821393.6729487847,582510.4493248
1611619200000,2021-01-26 00:00:00,OMG/USD,3.5346,3.6749,3.239,3.4482,3189752.807127817,925048.6651377
1611532800000,2021-01-25 00:00:00,OMG/USD,3.5958,3.8329,3.5,3.5448,2309387.848271973,651486.07771157
1611446400000,2021-01-24 00:00:00,OMG/USD,3.6117,3.8785,3.4621,3.5946,6564607.124008055,1826241.34090248
1611360000000,2021-01-23 00:00:00,OMG/USD,3.35,3.771,3.3103,3.6238,5691345.716070869,1570546.30941853
1611273600000,2021-01-22 00:00:00,OMG/USD,3.2097,3.51,2.9637,3.3609,2794720.7340351054,831539.3894597
1611187200000,2021-01-21 00:00:00,OMG/USD,3.8384,3.8506,3.194,3.2031,2887871.52193418,901586.4387419
1611100800000,2021-01-20 00:00:00,OMG/USD,3.8582,4.0254,3.4746,3.8197,3477937.654603276,910526.39071217
1611014400000,2021-01-19 00:00:00,OMG/USD,4.2148,4.347,3.8079,3.8559,2952156.2127085864,765620.53287393
1610928000000,2021-01-18 00:00:00,OMG/USD,3.7332,4.4399,3.6463,4.214,7767320.195992357,1843217.89178746
1610841600000,2021-01-17 00:00:00,OMG/USD,3.5527,3.7985,3.3409,3.7237,2933616.7512924257,787823.066115
1610755200000,2021-01-16 00:00:00,OMG/USD,3.5993,3.8811,3.4626,3.5538,2829919.4206012273,796308.01412607
1610668800000,2021-01-15 00:00:00,OMG/USD,3.2388,3.8898,3.2142,3.6004,7988165.217807942,2218688.26180645
1610582400000,2021-01-14 00:00:00,OMG/USD,3.2456,3.3961,3.107,3.242,2539411.2739068205,783285.40219211
1610496000000,2021-01-13 00:00:00,OMG/USD,2.9897,3.2799,2.8913,3.2456,1452175.976072427,447429.12745638
1610409600000,2021-01-12 00:00:00,OMG/USD,3.0965,3.2772,2.891,2.9979,1173313.1518071424,391378.34877986
1610323200000,2021-01-11 00:00:00,OMG/USD,3.6455,3.6455,2.567,3.0854,4629655.485130909,1500504.14375151
1610236800000,2021-01-10 00:00:00,OMG/USD,3.7114,4.14,3.2457,3.659,6135236.897547741,1676752.36336369
1610150400000,2021-01-09 00:00:00,OMG/USD,3.3992,3.84,3.3077,3.7041,3723418.5123814116,1005215.44029087
1610064000000,2021-01-08 00:00:00,OMG/USD,3.5068,3.5841,3.1,3.3999,2231015.3821681235,656200.294764
1609977600000,2021-01-07 00:00:00,OMG/USD,3.7136,3.93,3.4,3.5093,4361072.498534055,1242718.63292795
1609891200000,2021-01-06 00:00:00,OMG/USD,3.5165,3.9421,3.3406,3.7142,5077013.631438646,1366919.82969109
1609804800000,2021-01-05 00:00:00,OMG/USD,3.2932,3.7645,3.1347,3.5253,6692991.48125796,1898559.40806682
1609718400000,2021-01-04 00:00:00,OMG/USD,3.0501,3.4575,2.6949,3.2886,6908552.468433063,2100757.911705
