https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XVG
1615593600000,2021-03-13 00:00:00,XVG/USD,0.02411,0.026316,0.0235,0.025709,15197.77506434257,591146.09920038
1615507200000,2021-03-12 00:00:00,XVG/USD,0.025428,0.0262,0.023742,0.024462,28644.319678116954,1170972.1068644
1615420800000,2021-03-11 00:00:00,XVG/USD,0.0249,0.026199,0.024,0.0254,47784.80168357481,1881291.40486515
1615334400000,2021-03-10 00:00:00,XVG/USD,0.022744,0.02712,0.0216,0.02508,114157.11028156336,4551718.91074814
1615248000000,2021-03-09 00:00:00,XVG/USD,0.02185,0.022725,0.021461,0.02267,60801.06887949589,2682005.68502408
1615161600000,2021-03-08 00:00:00,XVG/USD,0.0222,0.022243,0.021345,0.0217,12196.58936292625,562054.80935144
1615075200000,2021-03-07 00:00:00,XVG/USD,0.021713,0.0222,0.02157,0.0222,10470.97330830138,471665.4643379
1614988800000,2021-03-06 00:00:00,XVG/USD,0.02235,0.0225,0.020851,0.02124,8180.153882428122,385129.65548155
1614902400000,2021-03-05 00:00:00,XVG/USD,0.01976,0.022394,0.018657,0.02208,43209.478177407465,1956951.00441157
1614816000000,2021-03-04 00:00:00,XVG/USD,0.01972,0.0215,0.019109,0.019906,21549.77343182871,1082576.78246904
1614729600000,2021-03-03 00:00:00,XVG/USD,0.018533,0.020075,0.018533,0.019349,15300.286785167076,790753.3611642501
1614643200000,2021-03-02 00:00:00,XVG/USD,0.019077,0.019077,0.016675,0.0185,13455.17003577296,727306.48842016
1614556800000,2021-03-01 00:00:00,XVG/USD,0.017323,0.0205,0.017323,0.019055,13203.885951527433,692935.49994896
1614470400000,2021-02-28 00:00:00,XVG/USD,0.01814,0.01826,0.015717,0.01747,25493.27427789228,1459260.1189406
1614384000000,2021-02-27 00:00:00,XVG/USD,0.01738,0.019,0.01738,0.01814,29978.208497794953,1652602.45302067
1614297600000,2021-02-26 00:00:00,XVG/USD,0.018283,0.018899,0.0153,0.0172,43939.91933554428,2554646.47299676
1614211200000,2021-02-25 00:00:00,XVG/USD,0.022,0.022615,0.018002,0.0182,53663.89901406698,2948565.87989379
1614124800000,2021-02-24 00:00:00,XVG/USD,0.0205,0.023,0.019006,0.02219,32974.41969866135,1486003.5916476499
1614038400000,2021-02-23 00:00:00,XVG/USD,0.02508,0.026,0.016853,0.019995,68405.42056447959,3421126.30980143
1613952000000,2021-02-22 00:00:00,XVG/USD,0.027419,0.029357,0.02,0.02516,93759.78687803725,3726541.6088250102
1613865600000,2021-02-21 00:00:00,XVG/USD,0.02647,0.029118,0.017,0.027485,239932.06521170985,8729563.95167218
1613779200000,2021-02-20 00:00:00,XVG/USD,0.026712,0.033526,0.02577,0.02577,55177.39954311977,2141148.60470003
1613692800000,2021-02-19 00:00:00,XVG/USD,0.02855,0.028887,0.0251,0.026602,29268.506389893108,1100237.06450241
1613606400000,2021-02-18 00:00:00,XVG/USD,0.026965,0.02999,0.026965,0.0285,29332.61074184439,1029214.41199454
1613520000000,2021-02-17 00:00:00,XVG/USD,0.02398,0.027085,0.02317,0.027085,25257.87932683412,932541.23414562
1613433600000,2021-02-16 00:00:00,XVG/USD,0.024243,0.02577,0.02222,0.02222,13492.77099097881,607235.41813586
1613347200000,2021-02-15 00:00:00,XVG/USD,0.026431,0.0273,0.02227,0.02435,23221.190599661335,953642.32442141
1613260800000,2021-02-14 00:00:00,XVG/USD,0.02885,0.02999,0.02495,0.026431,28908.755447542546,1093744.29448536
1613174400000,2021-02-13 00:00:00,XVG/USD,0.02551,0.030627,0.02467,0.0289,64119.25653620511,2218659.39571644
1613088000000,2021-02-12 00:00:00,XVG/USD,0.02303,0.027,0.020584,0.02551,69684.42042840071,2731651.13400238
1613001600000,2021-02-11 00:00:00,XVG/USD,0.019341,0.025,0.01901,0.02281,28481.456443174062,1248639.03740351
1612915200000,2021-02-10 00:00:00,XVG/USD,0.02066,0.021231,0.018445,0.01901,46297.53120037697,2435430.36298669
1612828800000,2021-02-09 00:00:00,XVG/USD,0.017369,0.027201,0.017061,0.0207,113573.97749196706,5486665.57932208
1612742400000,2021-02-08 00:00:00,XVG/USD,0.016038,0.0185,0.015,0.017266,39710.17675627851,2299905.98611598
1612656000000,2021-02-07 00:00:00,XVG/USD,0.016477,0.017,0.015737,0.016,8547.21419688336,534200.88730521
1612569600000,2021-02-06 00:00:00,XVG/USD,0.018,0.01827,0.0155,0.017,19570.68496164643,1151216.76244979
1612483200000,2021-02-05 00:00:00,XVG/USD,0.016943,0.018498,0.01644,0.018,18997.428736800717,1055412.70760004
1612396800000,2021-02-04 00:00:00,XVG/USD,0.01642,0.01786,0.016116,0.01769,17833.222694528453,1008096.25181054
1612310400000,2021-02-03 00:00:00,XVG/USD,0.01845,0.01845,0.0161,0.01739,13103.015772986513,753479.91794057
1612224000000,2021-02-02 00:00:00,XVG/USD,0.01657,0.0184,0.016035,0.0183,25861.457396735408,1413194.3932642299
1612137600000,2021-02-01 00:00:00,XVG/USD,0.01533,0.0175,0.0142,0.0175,25572.168709447153,1461266.78339698
1612051200000,2021-01-31 00:00:00,XVG/USD,0.0157,0.019,0.014,0.0168,45883.598023475846,2731166.54901642
1611964800000,2021-01-30 00:00:00,XVG/USD,0.01768,0.01809,0.013,0.0157,64206.246799300694,4089569.85982807
1611878400000,2021-01-29 00:00:00,XVG/USD,0.012664,0.023958,0.012664,0.01669,256416.032628226,15363453.123320911
1611792000000,2021-01-28 00:00:00,XVG/USD,0.00986,0.013199,0.00986,0.012674,28473.682353502794,2246621.61539394
1611705600000,2021-01-27 00:00:00,XVG/USD,0.011132,0.011132,0.0094069,0.009819,6062.670319021264,617442.74559744
1611619200000,2021-01-26 00:00:00,XVG/USD,0.011947,0.012316,0.011,0.011425,1581.9831827143917,138466.79936231
1611532800000,2021-01-25 00:00:00,XVG/USD,0.01264,0.012832,0.011237,0.012,12350.43498955008,1029202.91579584
1611446400000,2021-01-24 00:00:00,XVG/USD,0.012434,0.013612,0.011958,0.012507,8707.844216290809,696237.6442225
1611360000000,2021-01-23 00:00:00,XVG/USD,0.011771,0.012655,0.01171,0.0124,10177.927693375772,820800.62043353
1611273600000,2021-01-22 00:00:00,XVG/USD,0.010711,0.01227,0.01,0.01227,37746.764809329215,3076345.95023058
1611187200000,2021-01-21 00:00:00,XVG/USD,0.012675,0.012682,0.010535,0.011041,16339.121615065209,1479858.85472921
1611100800000,2021-01-20 00:00:00,XVG/USD,0.012829,0.013373,0.011739,0.012156,11962.322123387577,984067.30202267
1611014400000,2021-01-19 00:00:00,XVG/USD,0.013056,0.013633,0.012424,0.0125,25150.813393821252,2012065.0715057
1610928000000,2021-01-18 00:00:00,XVG/USD,0.012295,0.0168,0.011953,0.013386,25685.62370146638,1918842.35032619
1610841600000,2021-01-17 00:00:00,XVG/USD,0.012976,0.013184,0.011538,0.01218,8440.824404000927,693006.9297209299
1610755200000,2021-01-16 00:00:00,XVG/USD,0.01191,0.014,0.011892,0.013136,12399.48293234977,943931.40471603
1610668800000,2021-01-15 00:00:00,XVG/USD,0.01235,0.012683,0.011,0.011708,10752.100494415641,918355.0131889
1610582400000,2021-01-14 00:00:00,XVG/USD,0.013052,0.0138,0.012391,0.013004,17383.437323925322,1336776.17071096
1610496000000,2021-01-13 00:00:00,XVG/USD,0.011422,0.013256,0.011422,0.013252,7321.3373259376585,552470.36869436
