https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETP
1612137600000,2021-02-01 00:00:00,ETP/USD,0.12633,0.13547,0.1109,0.12146,51931.52116090907,427560.6879706
1612051200000,2021-01-31 00:00:00,ETP/USD,0.12211,0.13,0.117,0.13,39305.1805294057,302347.54253389
1611964800000,2021-01-30 00:00:00,ETP/USD,0.11661,0.125,0.11661,0.12211,17535.11494122718,143600.97404985
1611878400000,2021-01-29 00:00:00,ETP/USD,0.11547,0.125,0.11201,0.11661,18002.156765438744,154379.1850222
1611792000000,2021-01-28 00:00:00,ETP/USD,0.11316,0.1225,0.105,0.11546,31070.24106353375,269099.6108049
1611705600000,2021-01-27 00:00:00,ETP/USD,0.11424,0.1175,0.10115,0.11261,15855.916372919624,140803.80403978
1611619200000,2021-01-26 00:00:00,ETP/USD,0.11305,0.1187,0.112,0.11423,7203.898013701615,63064.85173511
1611532800000,2021-01-25 00:00:00,ETP/USD,0.11999,0.12423,0.11245,0.11301,7610.929833374613,67347.40141027
1611446400000,2021-01-24 00:00:00,ETP/USD,0.11999,0.124,0.1168,0.11999,10818.83599252049,90164.48031103
1611360000000,2021-01-23 00:00:00,ETP/USD,0.11598,0.125,0.11528,0.11698,8321.006797438213,71131.87551238001
1611273600000,2021-01-22 00:00:00,ETP/USD,0.114,0.11859,0.10505,0.11858,16251.225552205937,137048.62162427
1611187200000,2021-01-21 00:00:00,ETP/USD,0.11748,0.121,0.11159,0.114,10648.9941604179,93412.22947735
1611100800000,2021-01-20 00:00:00,ETP/USD,0.11952,0.12271,0.1101,0.11172,18217.910425062837,163067.58346816
1611014400000,2021-01-19 00:00:00,ETP/USD,0.11771,0.12991,0.113,0.12829,29229.51528451637,227839.38954335
1610928000000,2021-01-18 00:00:00,ETP/USD,0.11,0.1211,0.10833,0.11753,25373.253517485926,215887.46292423998
1610841600000,2021-01-17 00:00:00,ETP/USD,0.1082,0.113,0.1082,0.11001,4930.795008226189,44821.33449892
1610755200000,2021-01-16 00:00:00,ETP/USD,0.10761,0.12,0.105,0.108,15260.96956077612,141305.27371089
1610668800000,2021-01-15 00:00:00,ETP/USD,0.1046,0.10856,0.1023,0.10312,7622.1869974880965,73915.7001308
1610582400000,2021-01-14 00:00:00,ETP/USD,0.10769,0.11083,0.10195,0.10799,15394.147835826741,142551.60510998
1610496000000,2021-01-13 00:00:00,ETP/USD,0.10483,0.11137,0.10379,0.107,5476.522681106269,51182.45496361
1610409600000,2021-01-12 00:00:00,ETP/USD,0.10132,0.11268,0.10132,0.10383,10602.848448154353,102117.38850192
1610323200000,2021-01-11 00:00:00,ETP/USD,0.10906,0.1139,0.0962,0.10131,21262.500470930747,209875.63390515
1610236800000,2021-01-10 00:00:00,ETP/USD,0.10599,0.1139,0.10001,0.10856,31263.38277639803,287982.52373248
1610150400000,2021-01-09 00:00:00,ETP/USD,0.11,0.12243,0.09368,0.106,59680.9032614169,563027.38925865
1610064000000,2021-01-08 00:00:00,ETP/USD,0.13749,0.13914,0.105,0.10705,40201.31434538987,375537.73325913
1609977600000,2021-01-07 00:00:00,ETP/USD,0.10605,0.1515,0.10183,0.133,111891.25870760278,841287.65945566
1609891200000,2021-01-06 00:00:00,ETP/USD,0.10174,0.10925,0.09681,0.10604,15909.788075701172,150035.72308281
1609804800000,2021-01-05 00:00:00,ETP/USD,0.097683,0.109,0.096006,0.10105,16463.40600483575,162923.36471881
1609718400000,2021-01-04 00:00:00,ETP/USD,0.09874,0.11,0.0922,0.097,19892.867543779717,205081.10869875998
1609632000000,2021-01-03 00:00:00,ETP/USD,0.0873,0.0988,0.0873,0.09709,9555.578900411085,98419.80533949
1609545600000,2021-01-02 00:00:00,ETP/USD,0.08672,0.09,0.0835,0.08713,7238.596106855592,83078.11439063
1609459200000,2021-01-01 00:00:00,ETP/USD,0.082953,0.0887,0.08001,0.08671,4372.632482250044,50428.23759947
1609372800000,2020-12-31 00:00:00,ETP/USD,0.080021,0.08495,0.0791,0.084118,2801.949713269171,33309.75193501
