https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume REP
1616025600000,2021-03-18 00:00:00,REP/USD,30.58,31.076,29.95,31.076,6984.5424069204,224.7568029
1615939200000,2021-03-17 00:00:00,REP/USD,30.414,30.86,28.699,30.53,13380.5440492752,438.27527184
1615852800000,2021-03-16 00:00:00,REP/USD,28.777,30.798,28.264,30.421,9219.029725699249,303.04821425
1615766400000,2021-03-15 00:00:00,REP/USD,31.534,31.534,29.066,29.066,4439.99379030166,152.75558351
1615680000000,2021-03-14 00:00:00,REP/USD,31.68,31.68,30.701,30.701,465.30833239352,15.15612952
1615593600000,2021-03-13 00:00:00,REP/USD,31.549,32.643,31.549,32.103,2198.5368847028103,68.48384527
1615507200000,2021-03-12 00:00:00,REP/USD,33.161,33.161,32.149,32.149,3689.210818033,114.753517
1615420800000,2021-03-11 00:00:00,REP/USD,34.512,35.0,32.12,33.161,6034.85548945627,181.98653507
1615334400000,2021-03-10 00:00:00,REP/USD,32.272,34.369,30.888,34.102,23741.524379623297,696.19155415
1615248000000,2021-03-09 00:00:00,REP/USD,30.643,33.012,30.431,33.012,2111.95468434636,63.97536303
1615161600000,2021-03-08 00:00:00,REP/USD,29.7,29.76,29.7,29.76,2058.7968000000005,69.18
1615075200000,2021-03-07 00:00:00,REP/USD,30.496,30.553,29.707,29.707,2212.0392889918,74.4618874
1614988800000,2021-03-06 00:00:00,REP/USD,29.8,30.303,28.513,28.513,165.08721540231002,5.78989287
1614902400000,2021-03-05 00:00:00,REP/USD,27.865,29.14,27.865,29.14,456.9354138352,15.68069368
1614816000000,2021-03-04 00:00:00,REP/USD,29.661,30.549,28.568,28.804,3187.7236307741196,110.66947753
1614729600000,2021-03-03 00:00:00,REP/USD,30.209,30.209,29.529,30.206,9173.13594440628,303.68588838
1614643200000,2021-03-02 00:00:00,REP/USD,30.989,30.989,27.978,28.297,2071.47066212683,73.20460339
1614556800000,2021-03-01 00:00:00,REP/USD,26.42,32.512,25.319,29.298,21843.119273552817,745.54984209
1614470400000,2021-02-28 00:00:00,REP/USD,25.006,25.006,24.711,24.711,4032.65783234952,163.19282232
1614384000000,2021-02-27 00:00:00,REP/USD,26.929,29.155,26.714,26.714,9408.03160797778,352.17607277
1614297600000,2021-02-26 00:00:00,REP/USD,24.222,26.237,23.299,25.786,8829.67776476138,342.42138233
1614211200000,2021-02-25 00:00:00,REP/USD,25.836,30.469,24.958,24.958,6997.62405925032,280.37599404
1614124800000,2021-02-24 00:00:00,REP/USD,24.646,26.642,24.319,24.319,1920.7267991983897,78.98050081
1614038400000,2021-02-23 00:00:00,REP/USD,31.232,31.232,20.054,22.688,18695.812049976,824.03967075
1613952000000,2021-02-22 00:00:00,REP/USD,34.789,34.935,26.707,29.376,13003.05523467456,442.64213081
1613865600000,2021-02-21 00:00:00,REP/USD,34.039,36.451,34.039,35.562,14313.378336358497,402.49081424999997
1613779200000,2021-02-20 00:00:00,REP/USD,36.0,41.345,32.889,33.584,56393.44023008241,1679.17580485
1613692800000,2021-02-19 00:00:00,REP/USD,34.289,35.714,32.186,35.714,8904.27314167356,249.32164254
1613606400000,2021-02-18 00:00:00,REP/USD,32.365,34.834,32.365,33.9,10478.066004225,309.08749275
1613520000000,2021-02-17 00:00:00,REP/USD,28.571,31.591,27.745,31.591,4718.10157181573,149.34954803
1613433600000,2021-02-16 00:00:00,REP/USD,32.191,33.45,30.585,30.585,1785.9009170055,58.3913983
1613347200000,2021-02-15 00:00:00,REP/USD,34.974,36.29,28.856,32.853,11726.084897813731,356.92584841
1613260800000,2021-02-14 00:00:00,REP/USD,32.545,34.63,30.232,33.806,11873.880088963519,351.23587792
1613174400000,2021-02-13 00:00:00,REP/USD,29.629,32.648,27.675,32.648,26854.721597765605,822.5533447
1613088000000,2021-02-12 00:00:00,REP/USD,27.499,30.429,26.969,30.353,30326.339367478093,999.12164753
1613001600000,2021-02-11 00:00:00,REP/USD,26.778,28.153,25.91,28.153,17860.0473875479,634.3923343
1612915200000,2021-02-10 00:00:00,REP/USD,24.771,26.565,23.277,25.022,2617.25819318728,104.59828124
1612828800000,2021-02-09 00:00:00,REP/USD,23.237,24.87,22.836,23.878,2881.19291058072,120.66307524
1612742400000,2021-02-08 00:00:00,REP/USD,22.746,23.706,21.672,22.788,3650.3261454657604,160.18633252
1612656000000,2021-02-07 00:00:00,REP/USD,21.909,21.974,20.341,20.341,228.88294825757,11.25229577
1612569600000,2021-02-06 00:00:00,REP/USD,23.363,23.897,21.496,22.017,6108.288087446789,277.43507687
