https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume EDO
1618272000000,2021-04-13 00:00:00,EDO/USD,2.4564,2.4836,2.4512,2.4512,34.085530799744,13.90565062
1618185600000,2021-04-12 00:00:00,EDO/USD,2.5714,2.68,2.4376,2.4878,12109.360744947382,4867.49768669
1618099200000,2021-04-11 00:00:00,EDO/USD,2.5,2.7021,2.4368,2.5629,23981.985723606063,9357.36303547
1618012800000,2021-04-10 00:00:00,EDO/USD,2.5647,2.7475,2.4368,2.5,122013.2660195,48805.3064078
1617926400000,2021-04-09 00:00:00,EDO/USD,2.6686,2.7492,2.5232,2.5232,9820.146107700737,3891.94122848
1617840000000,2021-04-08 00:00:00,EDO/USD,2.61,2.7884,2.5204,2.6716,9427.245450568893,3528.68896937
1617753600000,2021-04-07 00:00:00,EDO/USD,2.966,2.966,2.4535,2.6351,66439.75292308089,25213.37062088
1617667200000,2021-04-06 00:00:00,EDO/USD,3.009,3.1972,2.7427,2.9403,444813.2184741033,151281.5761909
1617580800000,2021-04-05 00:00:00,EDO/USD,2.7108,3.091,2.552,2.9334,306749.1031035079,104571.18125844
1617494400000,2021-04-04 00:00:00,EDO/USD,2.5714,2.78,2.5424,2.6843,9686.301554743135,3608.50186445
1617408000000,2021-04-03 00:00:00,EDO/USD,2.7978,2.8638,2.5036,2.5411,12408.741919879805,4883.21668564
1617321600000,2021-04-02 00:00:00,EDO/USD,2.5192,2.8623,2.4377,2.7978,31383.63608642271,11217.25501695
1617235200000,2021-04-01 00:00:00,EDO/USD,2.6743,2.7399,2.4646,2.5116,15362.621075802,6116.667095
1617148800000,2021-03-31 00:00:00,EDO/USD,2.4382,2.6997,2.2106,2.6439,46060.583289667025,17421.45440057
1617062400000,2021-03-30 00:00:00,EDO/USD,2.4172,2.6612,2.3667,2.4594,47662.311778982184,19379.65023135
1616976000000,2021-03-29 00:00:00,EDO/USD,2.0928,2.4854,2.0567,2.4523,20834.75223107765,8496.00466137
1616889600000,2021-03-28 00:00:00,EDO/USD,2.0828,2.2117,2.0343,2.0934,10347.423090920656,4942.87909187
1616803200000,2021-03-27 00:00:00,EDO/USD,2.1638,2.2215,2.0145,2.12,15436.5309628792,7281.38252966
1616716800000,2021-03-26 00:00:00,EDO/USD,1.9388,2.2163,1.9385,2.1913,20617.20535264014,9408.6639678
1616630400000,2021-03-25 00:00:00,EDO/USD,2.0701,2.0952,1.8356,1.9161,36875.08174491958,19244.86286985
1616544000000,2021-03-24 00:00:00,EDO/USD,2.2353,2.5288,2.0236,2.1266,94767.42529798237,44562.88220539
1616457600000,2021-03-23 00:00:00,EDO/USD,2.3245,2.4239,2.0784,2.243,34451.49516161615,15359.56092805
1616371200000,2021-03-22 00:00:00,EDO/USD,2.334,2.74,2.21,2.35,148331.996993504,63119.99872064
1616284800000,2021-03-21 00:00:00,EDO/USD,2.1988,2.3504,1.968,2.3401,19637.891323285097,8391.90262095
1616198400000,2021-03-20 00:00:00,EDO/USD,2.0299,2.39,1.9895,2.2566,36047.83352282415,15974.40110025
1616112000000,2021-03-19 00:00:00,EDO/USD,1.97,2.0999,1.89,1.9531,20217.838598822153,10351.66586392
1616025600000,2021-03-18 00:00:00,EDO/USD,2.0733,2.1641,1.9404,1.9435,3262.222132012415,1678.5295250899999
1615939200000,2021-03-17 00:00:00,EDO/USD,1.859,2.1497,1.8042,2.041,14190.13056278012,6952.53824732
1615852800000,2021-03-16 00:00:00,EDO/USD,2.0224,2.0962,1.802,1.8943,11471.174624414462,6055.6272102699995
1615766400000,2021-03-15 00:00:00,EDO/USD,2.046,2.1635,1.8306,2.0968,13550.947510430096,6462.68004122
1615680000000,2021-03-14 00:00:00,EDO/USD,2.0663,2.46,1.9963,2.046,147408.95426343437,72047.38722553
1615593600000,2021-03-13 00:00:00,EDO/USD,1.94,2.1609,1.8243,2.068,19554.673926098083,9455.83845556
1615507200000,2021-03-12 00:00:00,EDO/USD,1.7187,2.0674,1.6824,1.9015,31522.273822874504,16577.58286767
1615420800000,2021-03-11 00:00:00,EDO/USD,1.8312,1.8393,1.6338,1.7187,3143.892090400938,1829.22679374
1615334400000,2021-03-10 00:00:00,EDO/USD,1.7789,1.92,1.6509,1.8312,14057.324303214695,7676.56416733
1615248000000,2021-03-09 00:00:00,EDO/USD,1.742,1.8211,1.6401,1.7721,7045.2779158701715,3975.66611132
1615161600000,2021-03-08 00:00:00,EDO/USD,1.8233,1.93,1.623,1.6818,9565.081951646622,5687.40751079
1615075200000,2021-03-07 00:00:00,EDO/USD,1.725,1.9113,1.63,1.8166,51009.77456706349,28079.80544262
1614988800000,2021-03-06 00:00:00,EDO/USD,1.3545,1.75,1.2262,1.7021,26396.73033940404,15508.33108478
1614902400000,2021-03-05 00:00:00,EDO/USD,1.2946,1.3929,1.25,1.3481,1983.8699941764862,1471.60447606
1614816000000,2021-03-04 00:00:00,EDO/USD,1.4375,1.4917,1.2688,1.3111,3771.171320498393,2876.34148463
1614729600000,2021-03-03 00:00:00,EDO/USD,1.3036,1.58,1.3036,1.4355,14779.03747648185,10295.3935747
1614643200000,2021-03-02 00:00:00,EDO/USD,1.3273,1.3918,1.2106,1.3211,15462.88355617621,11704.5519311
1614556800000,2021-03-01 00:00:00,EDO/USD,1.1817,1.3781,1.1332,1.3077,50424.94855404657,38560.02795293
1614470400000,2021-02-28 00:00:00,EDO/USD,1.2741,1.2741,1.062,1.0829,15880.411954436391,14664.70768717
1614384000000,2021-02-27 00:00:00,EDO/USD,1.2399,1.4,1.0634,1.2575,20423.504145590203,16241.35518536
1614297600000,2021-02-26 00:00:00,EDO/USD,1.3,1.3769,1.1003,1.1789,39599.84673542324,33590.5053316
1614211200000,2021-02-25 00:00:00,EDO/USD,1.3893,1.5614,1.3,1.3,15646.115627610001,12035.4735597
1614124800000,2021-02-24 00:00:00,EDO/USD,1.2556,1.6,1.16,1.3516,47180.619666222134,34907.23562165
1614038400000,2021-02-23 00:00:00,EDO/USD,1.5976,1.6179,1.11,1.2556,140850.63055760768,112177.94724244
1613952000000,2021-02-22 00:00:00,EDO/USD,1.8262,1.8262,1.3972,1.5871,113672.10870506795,71622.52454481
1613865600000,2021-02-21 00:00:00,EDO/USD,1.8615,1.91,1.61,1.7682,73802.08907000908,41738.541494180005
1613779200000,2021-02-20 00:00:00,EDO/USD,1.8946,2.0988,1.7669,1.774,38100.11806194566,21476.95493909
1613692800000,2021-02-19 00:00:00,EDO/USD,2.0051,2.1487,1.8853,1.8946,25801.137354842016,13618.25047759
1613606400000,2021-02-18 00:00:00,EDO/USD,1.8974,2.0923,1.8501,2.023,27878.5049960368,13780.7736016
1613520000000,2021-02-17 00:00:00,EDO/USD,1.8971,2.2114,1.8097,1.8794,34621.44098314195,18421.53931209
1613433600000,2021-02-16 00:00:00,EDO/USD,1.9334,2.2091,1.8063,1.8971,69659.94698390228,36719.17504818
1613347200000,2021-02-15 00:00:00,EDO/USD,2.0077,2.2,1.51,1.9333,221769.03278053855,114710.09816404
1613260800000,2021-02-14 00:00:00,EDO/USD,1.7383,2.1254,1.53,1.9873,97726.22227040501,49175.37476496
1613174400000,2021-02-13 00:00:00,EDO/USD,1.8808,2.0,1.5101,1.7394,154913.95178552196,89061.71771043
1613088000000,2021-02-12 00:00:00,EDO/USD,1.9333,1.9699,1.7006,1.8899,133674.67175574123,70731.08193859
1613001600000,2021-02-11 00:00:00,EDO/USD,1.8277,2.1507,1.6999,1.9611,579926.9509094257,295715.1348271
1612915200000,2021-02-10 00:00:00,EDO/USD,1.0979,2.35,1.0231,1.8668,2121142.770032262,1136245.3235656
1612828800000,2021-02-09 00:00:00,EDO/USD,0.83153,1.22,0.79103,1.1137,288883.15066845116,259390.4558395
1612742400000,2021-02-08 00:00:00,EDO/USD,0.82505,0.88582,0.81111,0.82001,9096.948981928928,11093.70493278
1612656000000,2021-02-07 00:00:00,EDO/USD,0.80608,1.1076,0.7686,0.817,149010.39496274074,182387.26433628
1612569600000,2021-02-06 00:00:00,EDO/USD,0.8277,0.87422,0.75,0.80608,21343.180818218127,26477.74515956
1612483200000,2021-02-05 00:00:00,EDO/USD,0.767,0.88251,0.71,0.82769,39306.16771264106,47488.996741099996
1612396800000,2021-02-04 00:00:00,EDO/USD,0.80837,0.86248,0.76,0.767,14300.04391337301,18644.12505003
1612310400000,2021-02-03 00:00:00,EDO/USD,0.88001,1.0161,0.78453,0.81395,29447.65858013364,36178.70702148
1612224000000,2021-02-02 00:00:00,EDO/USD,0.92767,1.0542,0.85876,0.88001,15520.258355000873,17636.45680731
1612137600000,2021-02-01 00:00:00,EDO/USD,0.951,1.0892,0.6696,0.95326,331866.77431894065,348138.78094008
1612051200000,2021-01-31 00:00:00,EDO/USD,0.52877,1.13,0.5,0.959,1213432.1607805903,1265309.86525609
1611964800000,2021-01-30 00:00:00,EDO/USD,0.49511,0.65,0.48417,0.52134,147826.01065141222,283550.1029106
1611878400000,2021-01-29 00:00:00,EDO/USD,0.41427,0.51082,0.40197,0.4951,65707.02673017533,132714.65709993
1611792000000,2021-01-28 00:00:00,EDO/USD,0.40959,0.42775,0.40194,0.40394,3255.5089015954086,8059.38728919
