https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETC
1616112000000,2021-03-19 00:00:00,ETC/USD,12.151,12.434,11.922,12.246,338306.01089143794,27625.83789739
1616025600000,2021-03-18 00:00:00,ETC/USD,12.563,12.654,12.119,12.169,755368.9909145756,62073.21808814
1615939200000,2021-03-17 00:00:00,ETC/USD,12.422,12.55,11.729,12.546,496369.1414924753,39563.93603479
1615852800000,2021-03-16 00:00:00,ETC/USD,12.163,12.56,11.528,12.418,918504.1909622687,73965.54928026
1615766400000,2021-03-15 00:00:00,ETC/USD,12.775,13.094,11.739,12.179,1175892.0273586789,96550.78638301
1615680000000,2021-03-14 00:00:00,ETC/USD,13.777,14.132,12.722,12.742,545238.2246676888,42790.63135047
1615593600000,2021-03-13 00:00:00,ETC/USD,11.906,14.3,11.56,13.769,1328445.719629122,96480.9150722
1615507200000,2021-03-12 00:00:00,ETC/USD,12.31,12.578,11.482,11.97,419790.6957643119,35070.23356427
1615420800000,2021-03-11 00:00:00,ETC/USD,12.068,12.628,11.701,12.286,287707.82952982973,23417.53455395
1615334400000,2021-03-10 00:00:00,ETC/USD,12.417,12.747,11.68,11.992,347297.55486423674,28960.77008541
1615248000000,2021-03-09 00:00:00,ETC/USD,11.712,12.67,11.564,12.422,589555.33023922,47460.58044109
1615161600000,2021-03-08 00:00:00,ETC/USD,11.578,11.972,11.052,11.684,252273.54394696522,21591.36802011
1615075200000,2021-03-07 00:00:00,ETC/USD,11.113,11.793,11.103,11.555,241104.35167534454,20865.80282781
1614988800000,2021-03-06 00:00:00,ETC/USD,10.985,11.268,10.617,11.113,174276.02976422763,15682.17670874
1614902400000,2021-03-05 00:00:00,ETC/USD,10.993,11.104,10.378,10.964,263766.4726072004,24057.5038861
1614816000000,2021-03-04 00:00:00,ETC/USD,11.243,11.743,10.724,11.008,225926.5304066867,20523.84905584
1614729600000,2021-03-03 00:00:00,ETC/USD,10.89,11.738,10.828,11.279,263160.4805954509,23331.89827072
1614643200000,2021-03-02 00:00:00,ETC/USD,11.092,11.499,10.574,10.897,262192.09748560854,24060.94314817
1614556800000,2021-03-01 00:00:00,ETC/USD,10.43,11.186,10.212,11.075,366228.2673473477,33068.01511037
1614470400000,2021-02-28 00:00:00,ETC/USD,11.021,11.097,9.6866,10.396,384889.10080539895,37022.80692626
1614384000000,2021-02-27 00:00:00,ETC/USD,10.763,11.52,10.763,11.082,232839.57649802958,21010.60968219
1614297600000,2021-02-26 00:00:00,ETC/USD,10.985,11.316,10.012,10.748,662383.419828023,61628.52808225
1614211200000,2021-02-25 00:00:00,ETC/USD,11.894,12.198,10.957,10.989,396351.2704600915,36068.00167987
1614124800000,2021-02-24 00:00:00,ETC/USD,11.444,12.5,10.854,11.92,647344.1651715592,54307.39640701
1614038400000,2021-02-23 00:00:00,ETC/USD,13.986,14.017,9.0125,11.43,2279424.7367508193,199424.73637365
1613952000000,2021-02-22 00:00:00,ETC/USD,15.636,15.668,11.4,13.962,3526907.287963183,252607.59833571
1613865600000,2021-02-21 00:00:00,ETC/USD,15.082,16.366,14.818,15.693,900599.3670492128,57388.604285299996
