https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume TRX
1603843200000,2020-10-28 00:00:00,TRX/USD,0.026996,0.027348,0.026604,0.02691,194884.96503537954,7242102.0080037
1603756800000,2020-10-27 00:00:00,TRX/USD,0.026759,0.02715,0.026744,0.026988,134044.59635637185,4966822.15637957
1603670400000,2020-10-26 00:00:00,TRX/USD,0.027017,0.027516,0.026355,0.026777,245963.97978708308,9185643.64144912
1603584000000,2020-10-25 00:00:00,TRX/USD,0.027089,0.0273,0.026675,0.026973,158049.22626205927,5859534.58132426
1603497600000,2020-10-24 00:00:00,TRX/USD,0.026728,0.027353,0.026591,0.027078,77758.16891611992,2871636.34375212
1603411200000,2020-10-23 00:00:00,TRX/USD,0.027105,0.027119,0.02625,0.026719,166742.2578069427,6240587.51476263
1603324800000,2020-10-22 00:00:00,TRX/USD,0.026715,0.027517,0.026715,0.027081,225714.56252184886,8334794.22923263
1603238400000,2020-10-21 00:00:00,TRX/USD,0.025951,0.027567,0.025926,0.026743,379069.69529827446,14174538.95592396
1603152000000,2020-10-20 00:00:00,TRX/USD,0.025895,0.029132,0.025328,0.025992,580199.324379168,22322227.00750877
1603065600000,2020-10-19 00:00:00,TRX/USD,0.025954,0.026153,0.025677,0.025908,139412.48677901362,5381059.3939715
1602979200000,2020-10-18 00:00:00,TRX/USD,0.025758,0.02613,0.025701,0.025925,97136.35929760184,3746821.95940605
1602892800000,2020-10-17 00:00:00,TRX/USD,0.025738,0.026061,0.025557,0.025761,69220.24415078793,2687016.96948053
1602806400000,2020-10-16 00:00:00,TRX/USD,0.026535,0.026621,0.025542,0.025748,122275.94583898166,4748949.27136017
1602720000000,2020-10-15 00:00:00,TRX/USD,0.026736,0.026825,0.026327,0.026554,206109.91475702656,7761915.89805779
1602633600000,2020-10-14 00:00:00,TRX/USD,0.026853,0.02721,0.026331,0.026803,137711.9054770451,5137928.79442768
1602547200000,2020-10-13 00:00:00,TRX/USD,0.02716449,0.027368,0.02655193,0.026833,90138.92849360769,3359256.45636372
1602460800000,2020-10-12 00:00:00,TRX/USD,0.026589,0.027849,0.0259,0.027168,320992.2122449006,11815084.3729719
1602374400000,2020-10-11 00:00:00,TRX/USD,0.026472,0.02687,0.026093,0.026605,140516.42358793737,5281579.53722749
1602288000000,2020-10-10 00:00:00,TRX/USD,0.026336,0.027452,0.026331,0.026469,217685.48627997184,8224167.37617484
1602201600000,2020-10-09 00:00:00,TRX/USD,0.02576,0.02646,0.02569346,0.026344,160683.38301792348,6099429.9657578
1602115200000,2020-10-08 00:00:00,TRX/USD,0.02549,0.026089,0.025,0.025794,179509.3437168909,6959344.95296933
1602028800000,2020-10-07 00:00:00,TRX/USD,0.025557,0.025652,0.025058,0.02554,109342.99256352987,4281244.81454698
1601942400000,2020-10-06 00:00:00,TRX/USD,0.026493,0.026649,0.02531,0.025565,209611.22438112338,8199148.22535198
1601856000000,2020-10-05 00:00:00,TRX/USD,0.02664,0.02691,0.026,0.026485,96096.67116040975,3628343.25695336
1601769600000,2020-10-04 00:00:00,TRX/USD,0.027144,0.0274,0.025905,0.026457,220322.41104607156,8327565.90112528
1601683200000,2020-10-03 00:00:00,TRX/USD,0.025947,0.028522,0.025845,0.0272,469745.8210998827,17270066.95220157
1601596800000,2020-10-02 00:00:00,TRX/USD,0.025853,0.026179,0.024035,0.025996,292313.607063687,11244560.97336848
1601510400000,2020-10-01 00:00:00,TRX/USD,0.026285,0.026779,0.025133,0.025795,338882.34906349616,13137520.80106595
1601424000000,2020-09-30 00:00:00,TRX/USD,0.026312,0.026609,0.025816,0.02622899,109594.82712208499,4178385.33325473
1601337600000,2020-09-29 00:00:00,TRX/USD,0.026336,0.02645,0.025544,0.026364,151446.4059842115,5744439.61402714
1601251200000,2020-09-28 00:00:00,TRX/USD,0.026681,0.027165,0.026164,0.026331,187392.72272936825,7116809.9475663
1601164800000,2020-09-27 00:00:00,TRX/USD,0.027154,0.027552,0.026009,0.026625,330674.7643584369,12419709.45947181
1601078400000,2020-09-26 00:00:00,TRX/USD,0.027168,0.028984,0.027102,0.02728,435454.7571598808,15962417.78445311
1600992000000,2020-09-25 00:00:00,TRX/USD,0.026241,0.027467,0.025508,0.027147,274056.93133681297,10095293.45182941
1600905600000,2020-09-24 00:00:00,TRX/USD,0.024917,0.02636083,0.024514,0.02636083,231925.10404087594,8798095.66090582
1600819200000,2020-09-23 00:00:00,TRX/USD,0.025139,0.02612,0.024687,0.024918,215460.59170414583,8646785.12337049
1600732800000,2020-09-22 00:00:00,TRX/USD,0.024867,0.025466,0.02457566,0.025049,190400.69916309853,7601129.75220961
1600646400000,2020-09-21 00:00:00,TRX/USD,0.026973,0.027554,0.024642,0.024881,255892.07107278507,10284637.71845123
1600560000000,2020-09-20 00:00:00,TRX/USD,0.0277,0.027743,0.02655,0.027132,71384.43873913515,2631005.408342
1600473600000,2020-09-19 00:00:00,TRX/USD,0.029088,0.029329,0.02767,0.027769,197350.32277925423,7106857.38698744
1600387200000,2020-09-18 00:00:00,TRX/USD,0.02816,0.029879,0.02789,0.029138,467123.36778167775,16031414.91460216
1600300800000,2020-09-17 00:00:00,TRX/USD,0.026442,0.028506,0.026442,0.028006,195782.22166220163,6990724.18989508
1600214400000,2020-09-16 00:00:00,TRX/USD,0.027747,0.029924,0.026253,0.026459,549833.7384608422,20780594.06859073
1600128000000,2020-09-15 00:00:00,TRX/USD,0.030464,0.030465,0.0276,0.02785,330924.1951782442,11882376.84661559
1600041600000,2020-09-14 00:00:00,TRX/USD,0.030619,0.031424,0.030063,0.030413,197380.30051527594,6489997.7152953
1599955200000,2020-09-13 00:00:00,TRX/USD,0.032676,0.032676,0.02945,0.030623,268872.99344192276,8780099.71073777
1599868800000,2020-09-12 00:00:00,TRX/USD,0.03343,0.03343,0.032117,0.03282,138215.97322506472,4211333.73629082
1599782400000,2020-09-11 00:00:00,TRX/USD,0.033486,0.034472,0.031565,0.033516,256034.43958260925,7639170.53295767
1599696000000,2020-09-10 00:00:00,TRX/USD,0.033995,0.035194,0.032523,0.033007,184329.27981982986,5584551.15035689
1599609600000,2020-09-09 00:00:00,TRX/USD,0.035185,0.035927,0.033743,0.034078,278782.5167327924,8180718.25614157
1599523200000,2020-09-08 00:00:00,TRX/USD,0.03261,0.035521,0.031707,0.03529,606102.2955524813,17174902.11256677
1599436800000,2020-09-07 00:00:00,TRX/USD,0.031523,0.032547,0.02846,0.0324,571312.1605747221,17633091.37576303
1599350400000,2020-09-06 00:00:00,TRX/USD,0.029992,0.032666,0.02816,0.031483,549605.9594101215,17457229.59724682
1599264000000,2020-09-05 00:00:00,TRX/USD,0.0355,0.036739,0.0275,0.029869,1990309.4528307475,66634619.59994467
1599177600000,2020-09-04 00:00:00,TRX/USD,0.040106,0.044662,0.031707,0.035729,3978435.728864735,111350324.07469381
1599091200000,2020-09-03 00:00:00,TRX/USD,0.0344,0.04950000000000001,0.034126,0.040165,5816067.020976953,170429204.15451425
