https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XMR
1616716800000,2021-03-26 00:00:00,XMR/USD,215.2,225.72,215.2,221.35,592025.104055195,2674.6108157
1616630400000,2021-03-25 00:00:00,XMR/USD,210.72,221.03,204.66,214.16,989102.8378816297,4618.52277681
1616544000000,2021-03-24 00:00:00,XMR/USD,217.84,229.82,206.74,211.1,348659.432782338,1651.63160958
1616457600000,2021-03-23 00:00:00,XMR/USD,217.35,225.18,211.6,218.13,650531.9307549348,2982.31298196
1616371200000,2021-03-22 00:00:00,XMR/USD,231.56,232.88,217.18,217.28,454454.133670544,2091.55989355
1616284800000,2021-03-21 00:00:00,XMR/USD,231.22,236.71,225.61,231.91,401331.727773228,1730.5494708
1616198400000,2021-03-20 00:00:00,XMR/USD,231.95,237.72,230.59,232.06,328132.1681538116,1413.99710486
1616112000000,2021-03-19 00:00:00,XMR/USD,227.89,236.38,223.85,231.76,567166.7079853008,2447.21568858
1616025600000,2021-03-18 00:00:00,XMR/USD,236.53,240.28,228.0,228.01,847998.2437182299,3719.127423
1615939200000,2021-03-17 00:00:00,XMR/USD,229.81,236.48,226.34,236.23,1408147.0641829334,5960.91548145
1615852800000,2021-03-16 00:00:00,XMR/USD,221.66,229.76,212.58,229.67,1531951.5630370222,6670.22929872
1615766400000,2021-03-15 00:00:00,XMR/USD,232.11,237.63,215.66,222.14,1291877.5117216143,5815.60057496
1615680000000,2021-03-14 00:00:00,XMR/USD,239.21,240.99,229.0,232.11,1098532.5279417713,4732.80999501
1615593600000,2021-03-13 00:00:00,XMR/USD,222.94,239.43,218.14,239.1,1118293.781138331,4677.09653341
1615507200000,2021-03-12 00:00:00,XMR/USD,221.44,225.78,215.96,223.13,637628.9537937148,2857.65676419
1615420800000,2021-03-11 00:00:00,XMR/USD,220.29,226.0,212.92,221.62,1873100.9656792707,8451.85888313
1615334400000,2021-03-10 00:00:00,XMR/USD,225.73,227.56,215.4,220.61,1092326.1684983557,4951.39009337
1615248000000,2021-03-09 00:00:00,XMR/USD,221.38,229.15,218.51,225.24,1849396.3263868606,8210.781061919999
1615161600000,2021-03-08 00:00:00,XMR/USD,209.04,221.47,204.51,221.47,1678060.929669109,7576.9220647
1615075200000,2021-03-07 00:00:00,XMR/USD,205.1,210.22,202.39,209.04,519643.36736345285,2485.8561393200002
1614988800000,2021-03-06 00:00:00,XMR/USD,206.33,209.01,198.64,204.63,1887500.7738139026,9223.96898702
1614902400000,2021-03-05 00:00:00,XMR/USD,216.89,216.89,203.0,206.39,3387025.5727286073,16410.80271684
1614816000000,2021-03-04 00:00:00,XMR/USD,219.11,224.03,210.01,217.55,457208.49908565555,2101.62490961
1614729600000,2021-03-03 00:00:00,XMR/USD,219.76,229.07,216.25,219.55,804336.067254946,3663.56669212
1614643200000,2021-03-02 00:00:00,XMR/USD,230.3,232.4,211.51,221.14,931644.3845865008,4212.91663465
1614556800000,2021-03-01 00:00:00,XMR/USD,219.47,230.89,210.75,230.16,1262843.869348471,5486.80860857
1614470400000,2021-02-28 00:00:00,XMR/USD,208.2,227.43,198.82,219.44,1629718.851849764,7426.71733435
1614384000000,2021-02-27 00:00:00,XMR/USD,203.82,223.0,203.33,209.78,749644.3510165892,3573.47864914
1614297600000,2021-02-26 00:00:00,XMR/USD,198.47,217.2,193.31,203.99,1284934.8330586299,6299.008937
1614211200000,2021-02-25 00:00:00,XMR/USD,204.29,218.51,196.65,198.5,858009.22408059,4322.46460494
1614124800000,2021-02-24 00:00:00,XMR/USD,220.82,225.0,198.01,204.12,3370160.989644901,16510.68484051
1614038400000,2021-02-23 00:00:00,XMR/USD,224.63,225.14,171.55,220.7,8340015.698453839,37788.92477777
1613952000000,2021-02-22 00:00:00,XMR/USD,247.0,248.0,195.0,224.63,10322513.112495162,45953.40387524
1613865600000,2021-02-21 00:00:00,XMR/USD,254.4,261.06,243.7,247.0,1572171.45560436,6365.06662188
1613779200000,2021-02-20 00:00:00,XMR/USD,282.19,288.0,242.14,255.92,7053603.140146466,27561.75031317
1613692800000,2021-02-19 00:00:00,XMR/USD,262.5,283.47,252.67,281.53,3814324.9299595007,13548.55585536
1613606400000,2021-02-18 00:00:00,XMR/USD,271.49,276.36,252.24,262.5,4779091.264108875,18206.06195851
1613520000000,2021-02-17 00:00:00,XMR/USD,221.44,273.42,221.03,270.67,6612115.047812361,24428.69563606
1613433600000,2021-02-16 00:00:00,XMR/USD,228.38,234.51,209.7,221.33,1920105.2194581185,8675.30483648
1613347200000,2021-02-15 00:00:00,XMR/USD,229.73,233.66,203.1,227.74,3176882.366722132,13949.6020318
1613260800000,2021-02-14 00:00:00,XMR/USD,241.28,243.06,223.02,229.78,2765827.192445718,12036.84912719
1613174400000,2021-02-13 00:00:00,XMR/USD,201.02,253.19,197.38,241.98,9574230.083592622,39566.20416395
1613088000000,2021-02-12 00:00:00,XMR/USD,190.93,215.58,190.59,201.22,3059471.573886951,15204.60974996
1613001600000,2021-02-11 00:00:00,XMR/USD,175.9,192.18,170.63,190.39,2692626.7744390047,14142.69013309
1612915200000,2021-02-10 00:00:00,XMR/USD,170.0,182.61,165.5,175.8,1598589.947586138,9093.23064611
1612828800000,2021-02-09 00:00:00,XMR/USD,163.48,174.87,158.5,169.85,1581469.3083326265,9310.97620449
1612742400000,2021-02-08 00:00:00,XMR/USD,150.22,164.29,147.4,163.18,906310.4659600918,5554.05359701
1612656000000,2021-02-07 00:00:00,XMR/USD,152.23,157.11,147.23,150.67,3376510.214728877,22409.97023116
1612569600000,2021-02-06 00:00:00,XMR/USD,155.18,158.0,152.05,152.53,210851.4743815977,1382.36067909
1612483200000,2021-02-05 00:00:00,XMR/USD,148.45,155.28,147.3,155.14,563235.2428761678,3630.49660227
1612396800000,2021-02-04 00:00:00,XMR/USD,154.94,155.57,147.69,148.25,1328791.5150416575,8963.18053991
1612310400000,2021-02-03 00:00:00,XMR/USD,152.31,155.52,150.56,154.92,455715.57566555997,2941.618743
1612224000000,2021-02-02 00:00:00,XMR/USD,143.77,152.68,142.98,151.53,432220.3025890167,2852.37446439
1612137600000,2021-02-01 00:00:00,XMR/USD,137.76,146.34,135.88,143.49,478433.7763908804,3334.26563796
1612051200000,2021-01-31 00:00:00,XMR/USD,139.34,140.45,132.37,137.81,232479.97324143501,1686.9601135
1611964800000,2021-01-30 00:00:00,XMR/USD,140.49,142.27,136.32,139.92,294804.2391165432,2106.94853571
1611878400000,2021-01-29 00:00:00,XMR/USD,135.49,151.49,132.39,140.41,2087474.7472718193,14866.99485273
1611792000000,2021-01-28 00:00:00,XMR/USD,125.47,140.46,123.88,135.3,1110616.1293564262,8208.54493242
1611705600000,2021-01-27 00:00:00,XMR/USD,138.07,138.09,125.37,126.05,497591.7749531205,3947.57457321
1611619200000,2021-01-26 00:00:00,XMR/USD,136.99,140.52,133.67,138.27,261890.0394357885,1894.04816255
1611532800000,2021-01-25 00:00:00,XMR/USD,138.2,145.45,136.94,137.11,747317.2887950426,5450.49441175
1611446400000,2021-01-24 00:00:00,XMR/USD,138.95,143.17,134.37,138.1,208140.033084609,1507.16895789
1611360000000,2021-01-23 00:00:00,XMR/USD,135.13,141.61,133.9,138.66,288712.8338848938,2082.16380993
1611273600000,2021-01-22 00:00:00,XMR/USD,130.56,141.27,122.43,136.37,703404.7207286644,5158.06057585
1611187200000,2021-01-21 00:00:00,XMR/USD,153.15,153.4,127.81,130.8,2649049.3422357603,20252.670812200002
1611100800000,2021-01-20 00:00:00,XMR/USD,157.15,161.24,145.87,153.05,1583208.227837301,10344.38567682
1611014400000,2021-01-19 00:00:00,XMR/USD,157.14,165.69,153.15,156.72,931357.574396628,5942.81249615
1610928000000,2021-01-18 00:00:00,XMR/USD,160.25,160.79,150.75,157.29,426086.1401557572,2708.92072068
1610841600000,2021-01-17 00:00:00,XMR/USD,155.77,164.99,150.11,160.11,335119.74971150525,2093.05945732
1610755200000,2021-01-16 00:00:00,XMR/USD,157.7,162.13,152.5,156.02,468636.56223988044,3003.69543802
1610668800000,2021-01-15 00:00:00,XMR/USD,163.86,167.19,147.39,157.04,634073.8956108752,4037.6585303800002
1610582400000,2021-01-14 00:00:00,XMR/USD,171.37,171.37,161.0,163.24,796367.5805113644,4878.50759931
1610496000000,2021-01-13 00:00:00,XMR/USD,158.34,173.02,152.48,171.6,592428.321309396,3452.37949481
1610409600000,2021-01-12 00:00:00,XMR/USD,157.97,174.01,154.15,159.26,2796964.4257517266,17562.25308145
1610323200000,2021-01-11 00:00:00,XMR/USD,185.27,186.52,142.0,158.54,6198469.031242117,39097.19333444
1610236800000,2021-01-10 00:00:00,XMR/USD,147.88,190.0,147.88,184.81,7875865.260014045,42616.01244529
1610150400000,2021-01-09 00:00:00,XMR/USD,141.53,148.98,138.76,147.5,835657.3841356251,5665.47379075
1610064000000,2021-01-08 00:00:00,XMR/USD,142.61,150.44,135.19,141.97,1027208.865509168,7235.3938544
1609977600000,2021-01-07 00:00:00,XMR/USD,142.44,153.02,138.59,142.58,2046880.3671888802,14356.013236
1609891200000,2021-01-06 00:00:00,XMR/USD,136.71,142.52,132.73,142.35,897243.9273694064,6303.08343779
1609804800000,2021-01-05 00:00:00,XMR/USD,133.73,139.75,129.02,136.03,662195.8207306416,4868.01309072
1609718400000,2021-01-04 00:00:00,XMR/USD,138.13,144.09,128.51,133.69,1403984.5878075585,10501.79211465
1609632000000,2021-01-03 00:00:00,XMR/USD,143.49,144.94,131.71,137.9,2358515.216252398,17103.08351162
1609545600000,2021-01-02 00:00:00,XMR/USD,135.67,145.58,128.71,143.47,2904803.388003182,20246.765093770002
1609459200000,2021-01-01 00:00:00,XMR/USD,156.24,169.0,130.86,135.66,3865791.53101701,28496.1781735
1609372800000,2020-12-31 00:00:00,XMR/USD,159.86,161.48,154.73,156.16,349799.04445045756,2240.00412686
1609286400000,2020-12-30 00:00:00,XMR/USD,161.41,164.38,157.34,159.72,476703.73222970526,2984.6214139100002
1609200000000,2020-12-29 00:00:00,XMR/USD,166.34,167.32,154.72,161.59,829118.4762518657,5131.00115262
1609113600000,2020-12-28 00:00:00,XMR/USD,156.71,168.38,156.4,166.73,506292.3072559188,3036.59993556
1609027200000,2020-12-27 00:00:00,XMR/USD,167.77,170.03,155.18,156.71,1807765.8427474622,11535.74017451
1608940800000,2020-12-26 00:00:00,XMR/USD,159.72,167.88,159.01,167.67,584925.3399226158,3488.55096274
1608854400000,2020-12-25 00:00:00,XMR/USD,156.77,161.1,152.55,159.45,513646.705041555,3221.3653499
1608768000000,2020-12-24 00:00:00,XMR/USD,150.13,158.28,146.42,156.69,544180.7026423458,3472.97659482
1608681600000,2020-12-23 00:00:00,XMR/USD,156.65,168.66,147.71,150.7,3510347.2554838043,23293.61151615
1608595200000,2020-12-22 00:00:00,XMR/USD,145.55,157.49,143.7,156.7,629565.0303189119,4017.64537536
1608508800000,2020-12-21 00:00:00,XMR/USD,152.11,153.57,142.44,145.66,962307.4415006136,6606.53193396
1608422400000,2020-12-20 00:00:00,XMR/USD,154.67,156.86,150.71,152.31,1103121.8109165786,7242.60922406
1608336000000,2020-12-19 00:00:00,XMR/USD,154.61,158.49,153.82,154.68,304379.3447024952,1967.80026314
1608249600000,2020-12-18 00:00:00,XMR/USD,160.19,160.19,152.98,154.69,310896.2824032094,2009.80207126
1608163200000,2020-12-17 00:00:00,XMR/USD,158.8,163.0,153.68,160.2,2192854.806192078,13688.23224839
1608076800000,2020-12-16 00:00:00,XMR/USD,150.91,159.06,147.62,158.67,1468168.9580528259,9252.97131186
1607990400000,2020-12-15 00:00:00,XMR/USD,152.67,155.73,151.0,151.0,877094.21385921,5808.57095271
1607904000000,2020-12-14 00:00:00,XMR/USD,151.93,158.13,150.36,152.58,2049527.4912488312,13432.47798695
1607817600000,2020-12-13 00:00:00,XMR/USD,146.79,152.1,143.79,152.1,1872149.52747303,12308.6753943
1607731200000,2020-12-12 00:00:00,XMR/USD,141.37,149.36,141.17,146.72,3064753.4116185727,20888.45018824
1607644800000,2020-12-11 00:00:00,XMR/USD,133.94,142.52,130.02,141.33,827608.4841284653,5855.85851644
1607558400000,2020-12-10 00:00:00,XMR/USD,132.64,135.09,129.41,133.52,351609.46314131765,2633.38423563
