https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume XLM
1616544000000,2021-03-24 00:00:00,XLM/USD,0.39498,0.40235,0.34868,0.36261,1192032.0566867767,3287366.74853638
1616457600000,2021-03-23 00:00:00,XLM/USD,0.39255,0.40809,0.38718,0.39498,446177.5325038476,1129620.56940566
1616371200000,2021-03-22 00:00:00,XLM/USD,0.40333,0.425,0.39077,0.39283,1295049.9846367165,3296718.64327245
1616284800000,2021-03-21 00:00:00,XLM/USD,0.41524,0.42275,0.39212,0.40335,1788274.419651989,4433555.02578899
1616198400000,2021-03-20 00:00:00,XLM/USD,0.39505,0.43838,0.39276,0.4148,1790768.968977836,4317186.52116161
1616112000000,2021-03-19 00:00:00,XLM/USD,0.39423,0.40222,0.388,0.395,321487.2348507591,813891.73379939
1616025600000,2021-03-18 00:00:00,XLM/USD,0.40201,0.40781,0.39353,0.39436,596896.6218422581,1513583.07597692
1615939200000,2021-03-17 00:00:00,XLM/USD,0.39613,0.40414,0.38742,0.40166,767486.1502591515,1910785.6153442
1615852800000,2021-03-16 00:00:00,XLM/USD,0.38541,0.41235,0.37419,0.39557,2061132.5383843046,5210538.05491899
1615766400000,2021-03-15 00:00:00,XLM/USD,0.38877,0.39846,0.36768,0.38402,1817743.4030811118,4733460.24446933
1615680000000,2021-03-14 00:00:00,XLM/USD,0.40737,0.40873,0.38833,0.38833,699680.743454879,1801768.45326109
1615593600000,2021-03-13 00:00:00,XLM/USD,0.38347,0.41204,0.37686,0.4076,1048766.6982453964,2573029.19098478
1615507200000,2021-03-12 00:00:00,XLM/USD,0.40715,0.40744,0.37825,0.38697,908669.5263730388,2348165.30059963
1615420800000,2021-03-11 00:00:00,XLM/USD,0.41002,0.41266,0.39639,0.40563,785811.88457546,1937262.73839573
1615334400000,2021-03-10 00:00:00,XLM/USD,0.43263,0.43358,0.40693,0.41003,863367.2000279949,2105619.58887885
1615248000000,2021-03-09 00:00:00,XLM/USD,0.41846,0.43485,0.4138,0.43256,1300263.1212602842,3005971.70626106
1615161600000,2021-03-08 00:00:00,XLM/USD,0.41373,0.42066,0.40267,0.41854,474201.1844452254,1132988.92446415
1615075200000,2021-03-07 00:00:00,XLM/USD,0.4017,0.4222,0.4017,0.41273,632370.8357037817,1532165.90919919
1614988800000,2021-03-06 00:00:00,XLM/USD,0.40604,0.40913,0.39323,0.40224,413296.9776923334,1027488.50858277
1614902400000,2021-03-05 00:00:00,XLM/USD,0.41201,0.41262,0.3867,0.40624,1146571.097404586,2822398.32957017
1614816000000,2021-03-04 00:00:00,XLM/USD,0.41979,0.42756,0.40212,0.41247,1078658.381856923,2615119.60107868
1614729600000,2021-03-03 00:00:00,XLM/USD,0.41853,0.43876,0.41331,0.42169,828721.4434023539,1965238.54822821
1614643200000,2021-03-02 00:00:00,XLM/USD,0.43048,0.43562,0.39749,0.41907,1194588.0264113364,2850569.18035492
1614556800000,2021-03-01 00:00:00,XLM/USD,0.40714,0.43624,0.40188,0.4299,2067763.6116037848,4809871.15981341
1614470400000,2021-02-28 00:00:00,XLM/USD,0.43868,0.4506,0.38242,0.40549,3813851.5064153983,9405537.76027867
1614384000000,2021-02-27 00:00:00,XLM/USD,0.40122,0.47057,0.3992,0.43897,5203163.74658248,11853119.2258753
1614297600000,2021-02-26 00:00:00,XLM/USD,0.38078,0.40054,0.35426,0.39963,2962005.0721766963,7411868.65895127
1614211200000,2021-02-25 00:00:00,XLM/USD,0.40435,0.42573,0.3776,0.38064,1077203.158538781,2829978.87384085
1614124800000,2021-02-24 00:00:00,XLM/USD,0.38621,0.43339,0.368,0.40516,2998530.755672225,7400855.84873192
1614038400000,2021-02-23 00:00:00,XLM/USD,0.46387,0.46438,0.31304,0.38656,15493854.125567755,40081369.32317817
1613952000000,2021-02-22 00:00:00,XLM/USD,0.49642,0.52787,0.3823,0.46306,10275746.494076941,22190961.20173831
1613865600000,2021-02-21 00:00:00,XLM/USD,0.48605,0.5087,0.46969,0.49583,2534743.75884464,5112122.62034294
1613779200000,2021-02-20 00:00:00,XLM/USD,0.51308,0.53161,0.45756,0.4855,3100792.6725873416,6386802.62118917
1613692800000,2021-02-19 00:00:00,XLM/USD,0.49689,0.52279,0.48288,0.51289,2321388.3029524726,4526093.90503319
1613606400000,2021-02-18 00:00:00,XLM/USD,0.49795,0.51574,0.4835,0.49616,2190434.23141041,4414773.92657693
1613520000000,2021-02-17 00:00:00,XLM/USD,0.48583,0.50958,0.45628,0.49745,3045188.5524534946,6121597.25088651
1613433600000,2021-02-16 00:00:00,XLM/USD,0.49332,0.51742,0.46885,0.48591,2697761.4355958346,5551977.5999585
1613347200000,2021-02-15 00:00:00,XLM/USD,0.51647,0.53928,0.42339,0.4944,7093916.430878252,14348536.470223
1613260800000,2021-02-14 00:00:00,XLM/USD,0.56636,0.57679,0.497,0.51557,3922062.458155379,7607235.59973501
1613174400000,2021-02-13 00:00:00,XLM/USD,0.53148,0.60683,0.50761,0.56454,11620535.382937044,20584077.98019103
1613088000000,2021-02-12 00:00:00,XLM/USD,0.45818,0.536,0.43644,0.53059,6352187.695229448,11971932.55664345
1613001600000,2021-02-11 00:00:00,XLM/USD,0.41537,0.47021,0.41115,0.45682,5807526.003502108,12712941.64769955
1612915200000,2021-02-10 00:00:00,XLM/USD,0.40079,0.44705,0.37397,0.41506,6978122.917068262,16812323.31968453
1612828800000,2021-02-09 00:00:00,XLM/USD,0.39899,0.40646,0.38311,0.40119,2644067.4382912233,6590561.67474569
1612742400000,2021-02-08 00:00:00,XLM/USD,0.38601,0.40477,0.37348,0.39722,2933669.127954435,7385502.05919751
1612656000000,2021-02-07 00:00:00,XLM/USD,0.378,0.42315,0.36077,0.38681,11581935.729344066,29942182.80123075
1612569600000,2021-02-06 00:00:00,XLM/USD,0.35236,0.39858,0.33554,0.378,4112962.6028967956,10880853.44681692
1612483200000,2021-02-05 00:00:00,XLM/USD,0.32619,0.36452,0.32541,0.35199,2296617.088049056,6524665.72359742
1612396800000,2021-02-04 00:00:00,XLM/USD,0.3466,0.34976,0.31319,0.32594,2026547.4806978372,6217547.64894716
1612310400000,2021-02-03 00:00:00,XLM/USD,0.34066,0.34939,0.3305,0.34631,1659503.1901781769,4791958.6214033
1612224000000,2021-02-02 00:00:00,XLM/USD,0.32395,0.35022,0.31853,0.34047,2901564.731593043,8522233.18234512
1612137600000,2021-02-01 00:00:00,XLM/USD,0.30754,0.365,0.29261,0.32373,7567225.814212969,23375114.49112831
1612051200000,2021-01-31 00:00:00,XLM/USD,0.32813,0.33978,0.29408,0.30733,3015075.907587309,9810548.62065958
1611964800000,2021-01-30 00:00:00,XLM/USD,0.29377,0.362,0.27976,0.32872,6438290.825735045,19585941.913285
1611878400000,2021-01-29 00:00:00,XLM/USD,0.29321,0.38203,0.28714,0.29462,12511021.292277059,42464942.27234084
1611792000000,2021-01-28 00:00:00,XLM/USD,0.23817,0.30356,0.23292,0.29331,2735544.956818917,9326463.32146506
1611705600000,2021-01-27 00:00:00,XLM/USD,0.26144,0.26192,0.23098,0.23872,853553.3995387523,3575542.05570858
1611619200000,2021-01-26 00:00:00,XLM/USD,0.26076,0.2648,0.249,0.2615,936378.4304642277,3580797.05722458
1611532800000,2021-01-25 00:00:00,XLM/USD,0.2723,0.27773,0.26006,0.26056,525486.8538856407,2016759.49449509
1611446400000,2021-01-24 00:00:00,XLM/USD,0.26911,0.28339,0.26319,0.27156,500971.04109092586,1844789.51646386
1611360000000,2021-01-23 00:00:00,XLM/USD,0.27021,0.27958,0.2632,0.26862,301168.82181681355,1121170.5078431
1611273600000,2021-01-22 00:00:00,XLM/USD,0.25181,0.281,0.22796,0.27067,1426214.7407581348,5269201.39194641
1611187200000,2021-01-21 00:00:00,XLM/USD,0.29376,0.29376,0.24367,0.25141,1379633.9302442016,5487585.73741777
1611100800000,2021-01-20 00:00:00,XLM/USD,0.298,0.3016,0.27436,0.29365,1071337.3569551464,3648347.88678749
1611014400000,2021-01-19 00:00:00,XLM/USD,0.3059,0.32099,0.29127,0.29809,2845746.0195237477,9546600.0856243
1610928000000,2021-01-18 00:00:00,XLM/USD,0.30487,0.30871,0.2934,0.3057,883219.1095650906,2889169.47845957
1610841600000,2021-01-17 00:00:00,XLM/USD,0.29093,0.31943,0.28677,0.30374,1579283.4912466009,5199458.38956542
1610755200000,2021-01-16 00:00:00,XLM/USD,0.28489,0.31121,0.27739,0.29131,1598622.3883898028,5487701.72115548
1610668800000,2021-01-15 00:00:00,XLM/USD,0.30379,0.31293,0.26066,0.2841,2489808.5851180004,8763845.77655051
1610582400000,2021-01-14 00:00:00,XLM/USD,0.30382,0.32376,0.28773,0.30335,4949522.240761505,16316209.79318116
1610496000000,2021-01-13 00:00:00,XLM/USD,0.27938,0.31156,0.27136,0.30314,2710923.9696052945,8942811.80182521
1610409600000,2021-01-12 00:00:00,XLM/USD,0.27165,0.31126,0.25495,0.28031,5189027.50653108,18511745.94745489
1610323200000,2021-01-11 00:00:00,XLM/USD,0.28489,0.28527,0.2123,0.27134,9115700.64360525,33595122.88496075
1610236800000,2021-01-10 00:00:00,XLM/USD,0.31158,0.32499,0.26011,0.28578,5264795.433144238,18422546.83023388
