https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume AID
1606089600000,2020-11-23 00:00:00,AID/USD,0.0083,0.008466,0.0082145,0.0082161,262.954569174118,32004.79171068
1606003200000,2020-11-22 00:00:00,AID/USD,0.0083606,0.0094416,0.0083,0.0083,2723.55350652036,328138.9766892
1605916800000,2020-11-21 00:00:00,AID/USD,0.0086899,0.01,0.0083,0.0083606,2693.911532985812,322215.09616365
1605830400000,2020-11-20 00:00:00,AID/USD,0.008503,0.0144,0.00825,0.00825,795.7886715132751,96459.2329107
1605744000000,2020-11-19 00:00:00,AID/USD,0.01,0.0145,0.0078,0.008408,1750.9127280873545,208243.66413979
1605657600000,2020-11-18 00:00:00,AID/USD,0.01,0.01,0.0075495,0.0080708,677.3396863487679,83924.72696
1605571200000,2020-11-17 00:00:00,AID/USD,0.0074987,0.01,0.0074987,0.01,1836.6717457238,183667.17457238
1605484800000,2020-11-16 00:00:00,AID/USD,0.0075,0.0075,0.0066021,0.0066021,106.14856379999999,16078.0
1605398400000,2020-11-15 00:00:00,AID/USD,0.0071,0.0071,0.0065819,0.006582,238.36320383950118,36214.40350038
1605312000000,2020-11-14 00:00:00,AID/USD,0.0075,0.0075,0.0075,0.0075,5.372494769999999,716.332636
1605225600000,2020-11-13 00:00:00,AID/USD,0.0071725,0.0071725,0.0070345,0.0070345,70.3801725,10005.0
1605052800000,2020-11-11 00:00:00,AID/USD,0.009333,0.009333,0.0069614,0.0069947,25.4938002124827,3644.731041
1604966400000,2020-11-10 00:00:00,AID/USD,0.0069985,0.0069985,0.0069985,0.0069985,3.49575075,499.5
1604793600000,2020-11-08 00:00:00,AID/USD,0.009333,0.009333,0.0068541,0.0068541,3.8892356712000002,567.432
1604707200000,2020-11-07 00:00:00,AID/USD,0.0085844,0.01,0.0065561,0.0065561,265.5273591573156,40500.8098042
1604620800000,2020-11-06 00:00:00,AID/USD,0.0085386,0.0085386,0.0085386,0.0085386,8.5386,1000.0
1604534400000,2020-11-05 00:00:00,AID/USD,0.006501,0.006508,0.006501,0.006508,37.03162105598,5690.169185
1604275200000,2020-11-02 00:00:00,AID/USD,0.0075,0.0089,0.0075,0.0089,313.67768312329997,35244.683497
1604188800000,2020-11-01 00:00:00,AID/USD,0.0071,0.0071,0.0071,0.0071,22.471500000000002,3165.0
1604102400000,2020-10-31 00:00:00,AID/USD,0.0075,0.0075,0.0075,0.0075,22.5,3000.0
1603929600000,2020-10-29 00:00:00,AID/USD,0.00685,0.00685,0.0065,0.0065,325.1926000635,50029.630779
1603843200000,2020-10-28 00:00:00,AID/USD,0.007,0.007,0.007,0.007,597.1189690755799,85302.70986794
1603756800000,2020-10-27 00:00:00,AID/USD,0.00711,0.00711,0.007,0.007,213.663958809,30523.422687
1603670400000,2020-10-26 00:00:00,AID/USD,0.00721,0.00721,0.00711,0.00711,14.9879324225988,2108.00737308
1603324800000,2020-10-22 00:00:00,AID/USD,0.0072107,0.0072107,0.00721,0.00721,14.40558,1998.0
1603238400000,2020-10-21 00:00:00,AID/USD,0.0072,0.0072,0.0072,0.0072,1.7855999999999999,248.0
1603152000000,2020-10-20 00:00:00,AID/USD,0.0073054,0.0073054,0.0072,0.0072,64.40306730623999,8944.8704592
1602547200000,2020-10-13 00:00:00,AID/USD,0.0072693,0.0072693,0.0072693,0.0072693,1.7352789624243,238.713351
1602460800000,2020-10-12 00:00:00,AID/USD,0.0073421,0.0073421,0.0073421,0.0073421,7.3347579,999.0
1601510400000,2020-10-01 00:00:00,AID/USD,0.0074033,0.0074033,0.0074033,0.0074033,2.1572475869999996,291.39
1601424000000,2020-09-30 00:00:00,AID/USD,0.007077,0.009,0.00705,0.009,315.91065169350003,35101.1835215
1601164800000,2020-09-27 00:00:00,AID/USD,0.0071,0.0071,0.007077,0.007077,42.37714677,5988.01
1600905600000,2020-09-24 00:00:00,AID/USD,0.00711,0.00711,0.007077,0.007077,340.419570264501,48102.242513
1600560000000,2020-09-20 00:00:00,AID/USD,0.0072,0.0072,0.0072,0.0072,43.199999999999996,6000.0
1600473600000,2020-09-19 00:00:00,AID/USD,0.0072,0.0072,0.0072,0.0072,15.963105477455999,2217.09798298
1600214400000,2020-09-16 00:00:00,AID/USD,0.0071,0.0071,0.00705,0.00705,186.66796125,26477.725
1600128000000,2020-09-15 00:00:00,AID/USD,0.0072,0.0072,0.0071999,0.0072,174.900797034192,24291.77736586
1600041600000,2020-09-14 00:00:00,AID/USD,0.0076,0.0076,0.0072345,0.0072345,95.68737552280999,13226.53611484
1599868800000,2020-09-12 00:00:00,AID/USD,0.0079999,0.0079999,0.0079999,0.0079999,13.59983,1700.0
1599782400000,2020-09-11 00:00:00,AID/USD,0.0076,0.0076,0.0076,0.0076,190.0,25000.0
1599609600000,2020-09-09 00:00:00,AID/USD,0.0076959,0.007697,0.007514,0.007514,47.4798798554327,6318.85545055
