https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1605744000000,2020-11-19 00:00:00,BTC/USD,17774.0,18166.0,17344.0,17818.0,99343073.29798277,5575.43345482
1605657600000,2020-11-18 00:00:00,BTC/USD,17674.53552004,18450.0,17119.0,17774.0,311357987.8357708,17517.60930774
1605571200000,2020-11-17 00:00:00,BTC/USD,16719.0,17815.0,16535.0,17674.87558,215838721.36037162,12211.61192244
1605484800000,2020-11-16 00:00:00,BTC/USD,15965.0,16872.0,15874.0,16719.0,109045369.32032645,6522.24231834
1605398400000,2020-11-15 00:00:00,BTC/USD,16058.519784,16151.0,15794.0,15965.0,40943195.3949725,2564.5596865
1605312000000,2020-11-14 00:00:00,BTC/USD,16308.5948109,16315.0,15715.0,16057.0,81733820.34161264,5090.22982759
1605225600000,2020-11-13 00:00:00,BTC/USD,16296.0,16481.0,15974.0,16308.5948109,125571771.36400062,7699.72967138
1605139200000,2020-11-12 00:00:00,BTC/USD,15709.0,16325.0,15453.0,16296.18794388,200431634.22682232,12299.29569523
1605052800000,2020-11-11 00:00:00,BTC/USD,15311.53062117,15981.0,15292.0,15709.3042176,109037920.17983018,6940.97705853
1604966400000,2020-11-10 00:00:00,BTC/USD,15336.88653372,15474.0,15077.0,15311.53062117,57294292.53624717,3741.90497043
1604880000000,2020-11-09 00:00:00,BTC/USD,15501.0,15844.0,14841.0,15334.52194598,137199675.4309747,8947.1113553
1604793600000,2020-11-08 00:00:00,BTC/USD,14849.0,15650.0,14755.0,15500.0,100366880.21909,6475.28259478
1604707200000,2020-11-07 00:00:00,BTC/USD,15573.0,15740.0,14411.0,14845.0,213335034.5950442,14370.83426036
1604620800000,2020-11-06 00:00:00,BTC/USD,15568.0,15888.0,15179.0,15572.88385495,188399044.27539176,12097.89054039
1604534400000,2020-11-05 00:00:00,BTC/USD,14152.0,15723.55678179,14104.36241552,15568.0,247498615.19381487,15897.90693691
1604448000000,2020-11-04 00:00:00,BTC/USD,14029.5896356,14245.0,13530.0,14149.0,142881352.75964254,10098.33576646
1604361600000,2020-11-03 00:00:00,BTC/USD,13560.0,14066.0,13301.0,14029.5896356,81538037.1312118,5811.86187544
1604275200000,2020-11-02 00:00:00,BTC/USD,13755.0,13836.0,13207.0,13562.0,89320505.63269584,6586.08653832
1604188800000,2020-11-01 00:00:00,BTC/USD,13778.27705844,13892.0,13611.0,13756.0,42748171.59154932,3107.60188947
1604102400000,2020-10-31 00:00:00,BTC/USD,13567.94596627,14055.0,13425.0,13788.0,123450273.12834468,8953.45758111
1604016000000,2020-10-30 00:00:00,BTC/USD,13450.0,13673.0,13120.0,13568.0,63217326.50092544,4659.29588008
1603929600000,2020-10-29 00:00:00,BTC/USD,13266.0,13629.0,12972.0,13451.0,54804397.67746235,4074.37347985
1603843200000,2020-10-28 00:00:00,BTC/USD,13626.0,13839.0,12915.0,13267.0,94380748.44515426,7113.94802481
1603756800000,2020-10-27 00:00:00,BTC/USD,13059.0,13769.0,13054.0,13626.0,122307938.07435828,8976.07060578
1603670400000,2020-10-26 00:00:00,BTC/USD,13036.0,13244.0,12781.0,13059.0,47992597.58140956,3675.05916084
1603584000000,2020-10-25 00:00:00,BTC/USD,13127.0,13358.0,12850.0,13037.0,47343524.78687016,3631.47386568
1603497600000,2020-10-24 00:00:00,BTC/USD,12930.56664423,13178.0,12882.0,13127.03663502,25885078.714291874,1971.8904909
1603411200000,2020-10-23 00:00:00,BTC/USD,12982.0,13032.0,12738.0,12935.0,37564947.8160697,2904.13203062
1603324800000,2020-10-22 00:00:00,BTC/USD,12811.0,13188.0,12710.0,12988.0,79099511.26211576,6090.19951202
1603238400000,2020-10-21 00:00:00,BTC/USD,11924.12565284,13220.0,11910.0,12810.0,197286377.7414096,15400.96625616
1603152000000,2020-10-20 00:00:00,BTC/USD,11757.0,12044.0,11696.0,11925.0,64669194.18391725,5422.99322297
1603065600000,2020-10-19 00:00:00,BTC/USD,11517.0,11828.0,11417.0,11757.0,44300144.607426174,3767.98031874
